Game, Start, End, Period, Team, Event, Phase, Offense System, Defense System, Assist, Offense Player Number, Offense Player Name, Offense Player Position, Defense Player Number, Defense Player Name, Defense Player Position, Shooter Position, Shot Location, Home Team, Visitor Team, Possession, Important, Game System
BERABERA vs GRANOLLERS, 00:03:02, 00:03:07, T1, GRANOLLERS, GOAL, FAST_BREAK, EQUALITY, 5:1, , 14, 14-O. VEGUE, rb, 1, 01-A.DIVA, gk, LEFT_6M, 1, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 4,false
BERABERA vs GRANOLLERS, 00:03:07, 00:03:37, T1, BERABERA, SAVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 18, 18-E.KARSTEN, rb, 1, 01-N. WIGGINS, gk, RIGHT_6M, 9, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 4,false
BERABERA vs GRANOLLERS, 00:03:37, 00:04:15, T1, GRANOLLERS, POST_OUT, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 14, 14-O. VEGUE, rb, 1, 01-A.DIVA, gk, LEFT_WING, 10, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 5,false
BERABERA vs GRANOLLERS, 00:04:15, 00:04:31, T1, BERABERA, GOAL, FAST_BREAK, EQUALITY, 6:0, , 13, 13-L.HERNANDEZ, lb, 1, 01-N. WIGGINS, gk, LEFT_WING, 3, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 5,false
BERABERA vs GRANOLLERS, 00:04:31, 00:04:53, T1, GRANOLLERS, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 9, 09-L.KOFLER, lp, , , , , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 6,false
BERABERA vs GRANOLLERS, 00:04:53, 00:05:05, T1, BERABERA, FOUL_RECEIVE, FAST_BREAK, EQUALITY, 6:0, , 14, 14-M.CAVO, rb, 17, 17-E.SOMAZA, lb, , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 6,false
BERABERA vs GRANOLLERS, 00:05:05, 00:05:25, T1, BERABERA, SAVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 23, 23-P.ARCOS, lb, 1, 01-N. WIGGINS, gk, LEFT_6M, 3, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 6,false
BERABERA vs GRANOLLERS, 00:05:25, 00:05:54, T1, GRANOLLERS, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 17, 17-E.SOMAZA, lb, , , , , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 7,false
BERABERA vs GRANOLLERS, 00:05:54, 00:06:06, T1, BERABERA, LOST_BALL, FAST_BREAK, EQUALITY, 6:0, , 23, 23-P.ARCOS, lb, , , , , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 7,false
BERABERA vs GRANOLLERS, 00:06:06, 00:06:34, T1, GRANOLLERS, SAVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 17, 17-E.SOMAZA, lb, 1, 01-A.DIVA, gk, LEFT_6M, 8, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 8,false
