Game, Start, End, Period, Team, Event, Phase, Offense System, Defense System, Assist, Offense Player Number, Offense Player Name, Offense Player Position, Defense Player Number, Defense Player Name, Defense Player Position, Shooter Position, Shot Location, Home Team, Visitor Team, Possession, Important, Game System
BERABERA vs GRANOLLERS, 00:15:29, 00:15:56, T1, GRANOLLERS, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 13, 13-M.BRASIL, lb, , , , , , 15-M. ECHEVERRIA, 14-M.CAVO, 42-C.POLONIO, 13-L.HERNANDEZ, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 13-M.BRASIL, 16,false
BERABERA vs GRANOLLERS, 00:15:56, 00:16:01, T1, BERABERA, GOAL, FAST_BREAK, EQUALITY, 6:0, , 42, 42-C.POLONIO, lp, 1, 01-N. WIGGINS, gk, CENTER_6M, 1, 15-M. ECHEVERRIA, 14-M.CAVO, 42-C.POLONIO, 13-L.HERNANDEZ, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 13-M.BRASIL, 16,false
BERABERA vs GRANOLLERS, 00:16:01, 00:16:25, T1, GRANOLLERS, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 13, 13-M.BRASIL, lb, , , , , , 15-M. ECHEVERRIA, 14-M.CAVO, 42-C.POLONIO, 13-L.HERNANDEZ, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 13-M.BRASIL, 17,false
BERABERA vs GRANOLLERS, 00:16:25, 00:17:08, T1, BERABERA, SAVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 4, 04-M. FERNANDES, lb, 1, 01-N. WIGGINS, gk, CENTER_6M, 3, 13-L.HERNANDEZ, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 31-S.GAVILAN, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 13-M.BRASIL, 17,false
BERABERA vs GRANOLLERS, 00:17:08, 00:17:36, T1, GRANOLLERS, GOAL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 13, 13-M.BRASIL, lb, 1, 01-A.DIVA, gk, RIGHT_6M, 3, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 31-S.GAVILAN, 06-M.LOUIS, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 13-M.BRASIL, 18,false
BERABERA vs GRANOLLERS, 00:17:36, 00:17:52, T1, BERABERA, GOAL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 4, 04-M. FERNANDES, lb, 1, 01-N. WIGGINS, gk, CENTER_6M, 1, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 31-S.GAVILAN, 06-M.LOUIS, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 13-M.BRASIL, 18,false
BERABERA vs GRANOLLERS, 00:17:52, 00:18:23, T1, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 98, 98-M. CAPDEVILA, cb, 6, 06-M.LOUIS, lw, , , 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 13-M.BRASIL, 19,false
BERABERA vs GRANOLLERS, 00:18:23, 00:18:29, T1, GRANOLLERS, POST_OUT, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 13, 13-M.BRASIL, lb, 1, 01-A.DIVA, gk, CENTER_9M, 0, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 13-M.BRASIL, 19,false
BERABERA vs GRANOLLERS, 00:18:29, 00:18:38, T1, BERABERA, SAVE, FAST_BREAK, EQUALITY, 6:0, , 25, 25-A.ERAUSKIN, rw, 1, 01-N. WIGGINS, gk, RIGHT_6M, 1, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 13-M.BRASIL, 19,false
BERABERA vs GRANOLLERS, 00:18:38, 00:19:12, T1, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 13, 13-M.BRASIL, lb, 3, 03-E. ARROJERIA, cb, , , 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 13-M.BRASIL, 20,false
BERABERA vs GRANOLLERS, 00:19:12, 00:19:37, T1, GRANOLLERS, SAVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 17, 17-E.SOMAZA, lb, 1, 01-A.DIVA, gk, LEFT_9M, 4, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 13-M.BRASIL, 20,false
BERABERA vs GRANOLLERS, 00:19:37, 00:19:53, T1, BERABERA, GOAL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 4, 04-M. FERNANDES, lb, 1, 01-N. WIGGINS, gk, LEFT_6M, 4, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 31-S.GAVILAN, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 13-M.BRASIL, 20,false
BERABERA vs GRANOLLERS, 00:19:53, 00:20:15, T1, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 14, 14-O. VEGUE, rb, 3, 03-E. ARROJERIA, cb, , , 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 13-M.BRASIL, 21,false
BERABERA vs GRANOLLERS, 00:20:15, 00:20:27, T1, GRANOLLERS, SAVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 22, 22-P.MILAGROS, lb, 1, 01-A.DIVA, gk, LEFT_6M, 1, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 13-M.BRASIL, 21,false
BERABERA vs GRANOLLERS, 00:20:27, 00:20:45, T1, BERABERA, 7M_PROVOKE_SUSPENSION, FAST_BREAK, EQUALITY, 6:0, , 3, 03-E. ARROJERIA, cb, 28, 28-J.CASTAÑERA, lb, , , 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 13-M.BRASIL, 21,false
BERABERA vs GRANOLLERS, 00:20:45, 00:20:45, T1, GRANOLLERS, 2_MIN, FAST_BREAK, EQUALITY, 5:1, , 28, 28-J.CASTAÑERA, lb, , , , , , 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 13-M.BRASIL, 21,false
BERABERA vs GRANOLLERS, 00:20:45, 00:20:48, T1, BERABERA, GOAL, OFFENSE_POSITIONAL, SUPERIORITY-6vs5, 6:0, , 23, 23-P.ARCOS, lb, 16, 16-M. MERA, gk, 7_METERS, 3, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 13-M.BRASIL, 16-M. MERA, 21,false
BERABERA vs GRANOLLERS, 00:20:48, 00:21:20, T1, GRANOLLERS, GOAL, OFFENSE_POSITIONAL, INFERIORITY-5vs6, 5:1, , 9, 09-L.KOFLER, lp, 1, 01-A.DIVA, gk, RIGHT_6M, 4, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 16-M. MERA, 09-L.KOFLER, 22,false
BERABERA vs GRANOLLERS, 00:21:20, 00:21:41, T1, BERABERA, GOAL, OFFENSE_POSITIONAL, SUPERIORITY-6vs5, 6:0, , 31, 31-S.GAVILAN, lp, 1, 01-N. WIGGINS, gk, RIGHT_6M, 9, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 31-S.GAVILAN, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 09-L.KOFLER, 01-N. WIGGINS, 22,false
BERABERA vs GRANOLLERS, 00:21:41, 00:22:13, T1, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, INFERIORITY-5vs6, 5:1, , 98, 98-M. CAPDEVILA, cb, 3, 03-E. ARROJERIA, cb, , , 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 14-O. VEGUE, 09-L.KOFLER, 01-N. WIGGINS, 98-M. CAPDEVILA, 23,false
BERABERA vs GRANOLLERS, 00:22:13, 00:22:25, T1, GRANOLLERS, SAVE, OFFENSE_POSITIONAL, INFERIORITY-5vs6, 5:1, , 17, 17-E.SOMAZA, lb, 1, 01-A.DIVA, gk, CENTER_9M, 6, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 14-O. VEGUE, 09-L.KOFLER, 01-N. WIGGINS, 98-M. CAPDEVILA, 23,false
BERABERA vs GRANOLLERS, 00:22:25, 00:23:05, T1, BERABERA, SAVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 31, 31-S.GAVILAN, lp, 1, 01-N. WIGGINS, gk, CENTER_6M, 6, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 31-S.GAVILAN, 17-E.SOMAZA, 23-A.GONZALEZ, 14-O. VEGUE, 09-L.KOFLER, 01-N. WIGGINS, 98-M. CAPDEVILA, 28-J.CASTAÑERA, 23,false
BERABERA vs GRANOLLERS, 00:23:05, 00:23:35, T1, GRANOLLERS, GOAL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 13, 13-M.BRASIL, lb, 1, 01-A.DIVA, gk, LEFT_6M, 4, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 31-S.GAVILAN, 23-A.GONZALEZ, 14-O. VEGUE, 09-L.KOFLER, 01-N. WIGGINS, 98-M. CAPDEVILA, 28-J.CASTAÑERA, 13-M.BRASIL, 24,false
BERABERA vs GRANOLLERS, 00:23:35, 00:23:48, T1, BERABERA, GOAL, COUNTER_GOAL, EQUALITY, 6:0, , 3, 03-E. ARROJERIA, cb, 1, 01-N. WIGGINS, gk, CENTER_6M, 4, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 31-S.GAVILAN, 23-A.GONZALEZ, 14-O. VEGUE, 09-L.KOFLER, 01-N. WIGGINS, 98-M. CAPDEVILA, 28-J.CASTAÑERA, 13-M.BRASIL, 24,false
BERABERA vs GRANOLLERS, 00:23:48, 00:24:03, T1, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 9, 09-L.KOFLER, lp, 3, 03-E. ARROJERIA, cb, , , 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 31-S.GAVILAN, 23-A.GONZALEZ, 14-O. VEGUE, 09-L.KOFLER, 01-N. WIGGINS, 98-M. CAPDEVILA, 28-J.CASTAÑERA, 13-M.BRASIL, 25,false
BERABERA vs GRANOLLERS, 00:24:03, 00:24:13, T1, GRANOLLERS, GOAL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 22, 22-P.MILAGROS, lb, 1, 01-A.DIVA, gk, LEFT_6M, 1, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 31-S.GAVILAN, 23-A.GONZALEZ, 14-O. VEGUE, 09-L.KOFLER, 01-N. WIGGINS, 28-J.CASTAÑERA, 13-M.BRASIL, 22-P.MILAGROS, 25,false
BERABERA vs GRANOLLERS, 00:24:13, 00:24:22, T1, BERABERA, GOAL, COUNTER_GOAL, EQUALITY, 6:0, , 25, 25-A.ERAUSKIN, rw, 1, 01-N. WIGGINS, gk, RIGHT_WING, 7, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 31-S.GAVILAN, 23-A.GONZALEZ, 14-O. VEGUE, 09-L.KOFLER, 01-N. WIGGINS, 28-J.CASTAÑERA, 13-M.BRASIL, 22-P.MILAGROS, 25,false
BERABERA vs GRANOLLERS, 00:24:22, 00:25:17, T1, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 14, 14-O. VEGUE, rb, 6, 06-M.LOUIS, lw, , , 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 31-S.GAVILAN, 23-A.GONZALEZ, 14-O. VEGUE, 09-L.KOFLER, 01-N. WIGGINS, 28-J.CASTAÑERA, 13-M.BRASIL, 22-P.MILAGROS, 26,false
BERABERA vs GRANOLLERS, 00:25:17, 00:25:29, T1, GRANOLLERS, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 9, 09-L.KOFLER, lp, , , , , , 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 31-S.GAVILAN, 23-A.GONZALEZ, 14-O. VEGUE, 09-L.KOFLER, 01-N. WIGGINS, 28-J.CASTAÑERA, 13-M.BRASIL, 22-P.MILAGROS, 26,false
BERABERA vs GRANOLLERS, 00:25:29, 00:25:59, T1, BERABERA, POST_OUT, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 6, 06-M.LOUIS, lw, 1, 01-N. WIGGINS, gk, LEFT_WING, 10, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 06-M.LOUIS, 31-S.GAVILAN, 23-A.GONZALEZ, 14-O. VEGUE, 09-L.KOFLER, 01-N. WIGGINS, 28-J.CASTAÑERA, 13-M.BRASIL, 22-P.MILAGROS, 26,false
BERABERA vs GRANOLLERS, 00:25:59, 00:26:31, T1, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 13, 13-M.BRASIL, lb, 3, 03-E. ARROJERIA, cb, , , 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 42-C.POLONIO, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 28-J.CASTAÑERA, 13-M.BRASIL, 22-P.MILAGROS, 98-M. CAPDEVILA, 27,false
BERABERA vs GRANOLLERS, 00:26:31, 00:26:41, T1, GRANOLLERS, GOAL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 13, 13-M.BRASIL, lb, 1, 01-A.DIVA, gk, CENTER_9M, 9, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 42-C.POLONIO, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 28-J.CASTAÑERA, 13-M.BRASIL, 22-P.MILAGROS, 98-M. CAPDEVILA, 27,false
BERABERA vs GRANOLLERS, 00:26:41, 00:26:48, T1, BERABERA, GOAL, COUNTER_GOAL, EQUALITY, 6:0, , 3, 03-E. ARROJERIA, cb, 1, 01-N. WIGGINS, gk, LEFT_6M, 3, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 42-C.POLONIO, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 28-J.CASTAÑERA, 13-M.BRASIL, 22-P.MILAGROS, 98-M. CAPDEVILA, 27,false
BERABERA vs GRANOLLERS, 00:26:48, 00:27:24, T1, GRANOLLERS, GOAL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 98, 98-M. CAPDEVILA, cb, 1, 01-A.DIVA, gk, CENTER_6M, 8, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 42-C.POLONIO, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 28-J.CASTAÑERA, 13-M.BRASIL, 22-P.MILAGROS, 98-M. CAPDEVILA, 28,false
BERABERA vs GRANOLLERS, 00:27:24, 00:28:03, T1, BERABERA, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 3, 03-E. ARROJERIA, cb, 23, 23-A.GONZALEZ, rw, , , 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 31-S.GAVILAN, 06-M.LOUIS, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 28-J.CASTAÑERA, 13-M.BRASIL, 22-P.MILAGROS, 98-M. CAPDEVILA, 28,false
BERABERA vs GRANOLLERS, 00:28:03, 00:28:14, T1, BERABERA, GOAL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 25, 25-A.ERAUSKIN, rw, 1, 01-N. WIGGINS, gk, RIGHT_6M, 3, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 31-S.GAVILAN, 06-M.LOUIS, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 28-J.CASTAÑERA, 13-M.BRASIL, 22-P.MILAGROS, 98-M. CAPDEVILA, 28,false
BERABERA vs GRANOLLERS, 00:28:14, 00:28:45, T1, GRANOLLERS, 7M_PROVOKE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 98, 98-M. CAPDEVILA, cb, 22, 22-J. LOIDI, lb, , , 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 42-C.POLONIO, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 28-J.CASTAÑERA, 13-M.BRASIL, 22-P.MILAGROS, 98-M. CAPDEVILA, 29,false
BERABERA vs GRANOLLERS, 00:28:45, 00:29:14, T1, GRANOLLERS, POST_OUT, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 14, 14-O. VEGUE, rb, 16, 16-M. AALLA, gk, 7_METERS, 0, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 22-J. LOIDI, 16-M. AALLA, 06-M.LOUIS, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 28-J.CASTAÑERA, 13-M.BRASIL, 22-P.MILAGROS, 98-M. CAPDEVILA, 29,false
BERABERA vs GRANOLLERS, 00:29:14, 00:29:55, T1, BERABERA, GOAL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 4, 04-M. FERNANDES, lb, 1, 01-N. WIGGINS, gk, LEFT_9M, 7, 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 22-J. LOIDI, 06-M.LOUIS, 01-A.DIVA, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 28-J.CASTAÑERA, 13-M.BRASIL, 22-P.MILAGROS, 98-M. CAPDEVILA, 29,false
BERABERA vs GRANOLLERS, 00:29:55, 00:29:55, T1, BERABERA, FIRST_HALF_END, OFFENSE_POSITIONAL, EQUALITY, 6:0, , , , , , , , , , 03-E. ARROJERIA, 04-M. FERNANDES, 23-P.ARCOS, 25-A.ERAUSKIN, 22-J. LOIDI, 06-M.LOUIS, 01-A.DIVA, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 28-J.CASTAÑERA, 13-M.BRASIL, 22-P.MILAGROS, 98-M. CAPDEVILA, 29,false
BERABERA vs GRANOLLERS, 00:29:55, 00:29:55, T2, BERABERA, SECOND_HALF_START, OFFENSE_POSITIONAL, EQUALITY, 6:0, , , , , , , , , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 14-M.CAVO, 18-E.KARSTEN, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 28-J.CASTAÑERA, 04-A.TOT, 09-L.KOFLER, 29,false
BERABERA vs GRANOLLERS, 00:29:55, 00:30:18, T2, BERABERA, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 18, 18-E.KARSTEN, rb, , , , , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 14-M.CAVO, 18-E.KARSTEN, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 28-J.CASTAÑERA, 04-A.TOT, 09-L.KOFLER, 29,false
BERABERA vs GRANOLLERS, 00:30:18, 00:30:26, T2, GRANOLLERS, FOUL_RECEIVE, FAST_BREAK, EQUALITY, 6:0, , 23, 23-A.GONZALEZ, rw, 3, 03-E. ARROJERIA, cb, , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 14-M.CAVO, 18-E.KARSTEN, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 28-J.CASTAÑERA, 04-A.TOT, 09-L.KOFLER, 30,false
BERABERA vs GRANOLLERS, 00:30:26, 00:31:05, T2, GRANOLLERS, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 98, 98-M. CAPDEVILA, cb, , , , , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 14-M.CAVO, 18-E.KARSTEN, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 04-A.TOT, 09-L.KOFLER, 98-M. CAPDEVILA, 30,false
BERABERA vs GRANOLLERS, 00:31:05, 00:31:32, T2, BERABERA, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 14, 14-M.CAVO, rb, , , , , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 14-M.CAVO, 18-E.KARSTEN, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 04-A.TOT, 09-L.KOFLER, 98-M. CAPDEVILA, 30,false
BERABERA vs GRANOLLERS, 00:31:32, 00:31:42, T2, GRANOLLERS, LOST_BALL, FAST_BREAK, EQUALITY, 6:0, , 98, 98-M. CAPDEVILA, cb, , , , , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 14-M.CAVO, 18-E.KARSTEN, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 04-A.TOT, 09-L.KOFLER, 98-M. CAPDEVILA, 31,false
BERABERA vs GRANOLLERS, 00:31:42, 00:32:11, T2, BERABERA, GOAL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 18, 18-E.KARSTEN, rb, 1, 01-N. WIGGINS, gk, LEFT_9M, 2, 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 14-M.CAVO, 18-E.KARSTEN, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 04-A.TOT, 09-L.KOFLER, 98-M. CAPDEVILA, 31,false
BERABERA vs GRANOLLERS, 00:32:11, 00:32:19, T2, GRANOLLERS, LOST_BALL, COUNTER_GOAL, EQUALITY, 6:0, , 23, 23-A.GONZALEZ, rw, , , , , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 04-A.TOT, 09-L.KOFLER, 98-M. CAPDEVILA, 32,false
