,0,1,2,3,4,cluster
0,0.0055,0.0022,0.0025,0.0023,0.0025,1
0,0.0025,0.0023,0.0025,0.0021,0.0023,1
0,0.0025,0.0021,0.0023,0.0026,0.0025,1
0,0.0023,0.0026,0.0025,0.0026,0.0026,1
0,0.0025,0.0026,0.0026,0.0025,0.0029,1
0,0.0026,0.0025,0.0029,0.0024,0.0027,1
0,0.0029,0.0024,0.0027,0.0027,0.0023,1
0,0.0027,0.0027,0.0023,0.0023,0.0025,1
0,0.0023,0.0023,0.0025,0.0025,0.0025,1
0,0.0025,0.0025,0.0025,0.0026,0.002,1
0,0.0025,0.0026,0.002,0.0022,0.0021,1
0,0.002,0.0022,0.0021,0.0021,0.0019,1
0,0.0021,0.0021,0.0019,0.002,0.0022,1
0,0.0019,0.002,0.0022,0.0024,0.0021,1
0,0.0022,0.0024,0.0021,0.0021,0.0019,1
0,0.0021,0.0021,0.0019,0.0023,0.0023,1
0,0.0019,0.0023,0.0023,0.0026,0.0036,1
0,0.0023,0.0026,0.0036,0.008,0.0065,1
0,0.0036,0.008,0.0065,0.0045,0.0283,2
0,0.0065,0.0045,0.0283,0.0726,0.0484,2
0,0.0283,0.0726,0.0484,0.0222,0.0207,4
0,0.0484,0.0222,0.0207,0.0274,0.021,2
0,0.0207,0.0274,0.021,0.0405,0.0325,2
0,0.021,0.0405,0.0325,0.0791,0.0728,2
0,0.0325,0.0791,0.0728,0.0352,0.0259,4
0,0.0728,0.0352,0.0259,0.0232,0.0255,4
0,0.0259,0.0232,0.0255,0.0199,0.0245,1
0,0.0255,0.0199,0.0245,0.0246,0.0415,2
0,0.0245,0.0246,0.0415,0.0338,0.0287,2
0,0.0415,0.0338,0.0287,0.0646,0.0328,2
0,0.0287,0.0646,0.0328,0.0337,0.0305,4
0,0.0328,0.0337,0.0305,0.0158,0.0234,2
0,0.0305,0.0158,0.0234,0.0543,0.0396,2
0,0.0234,0.0543,0.0396,0.0829,0.0857,3
0,0.0396,0.0829,0.0857,0.0085,0.0053,4
0,0.0857,0.0085,0.0053,0.0062,0.0376,4
0,0.0053,0.0062,0.0376,0.0623,0.1282,3
0,0.0376,0.0623,0.1282,0.1269,0.1483,3
0,0.1282,0.1269,0.1483,0.244,0.1552,3
0,0.1483,0.244,0.1552,0.0271,0.031,3
0,0.1552,0.0271,0.031,0.0745,0.0182,3
0,0.031,0.0745,0.0182,0.0358,0.0456,4
0,0.0182,0.0358,0.0456,0.0398,0.0239,2
0,0.0456,0.0398,0.0239,0.0114,0.0112,2
0,0.0239,0.0114,0.0112,0.0033,0.0175,2
0,0.0112,0.0033,0.0175,0.042,0.0245,2
0,0.0175,0.042,0.0245,0.0124,0.0209,2
0,0.0245,0.0124,0.0209,0.0098,0.0175,2
0,0.0209,0.0098,0.0175,0.0149,0.0165,1
0,0.0175,0.0149,0.0165,0.0183,0.0382,2
0,0.0165,0.0183,0.0382,0.0084,0.0078,2
0,0.0382,0.0084,0.0078,0.0094,0.0105,2
0,0.0078,0.0094,0.0105,0.0105,0.0061,1
0,0.0105,0.0105,0.0061,0.0059,0.0061,1
0,0.0061,0.0059,0.0061,0.006,0.0057,1
0,0.0061,0.006,0.0057,0.0054,0.0058,1
0,0.0057,0.0054,0.0058,0.0049,0.0055,1
0,0.0058,0.0049,0.0055,0.0063,0.0063,1
0,0.0055,0.0063,0.0063,0.0066,0.0059,1
0,0.0063,0.0066,0.0059,0.0043,0.0155,1
0,0.0059,0.0043,0.0155,0.0161,0.0152,1
0,0.0155,0.0161,0.0152,0.008,0.0122,1
0,0.0152,0.008,0.0122,0.0138,0.0133,1
0,0.0122,0.0138,0.0133,0.0101,0.0079,1
0,0.0133,0.0101,0.0079,0.0132,0.0097,1
0,0.0079,0.0132,0.0097,0.0107,0.0104,1
0,0.0097,0.0107,0.0104,0.0067,0.0054,1
0,0.0104,0.0067,0.0054,0.0064,0.0056,1
0,0.0054,0.0064,0.0056,0.0065,0.0099,1
0,0.0056,0.0065,0.0099,0.019,0.0097,1
0,0.0099,0.019,0.0097,0.0106,0.0151,1
0,0.0097,0.0106,0.0151,0.0124,0.0129,1
0,0.0151,0.0124,0.0129,0.0108,0.0107,1
0,0.0129,0.0108,0.0107,0.0124,0.0391,2
0,0.0107,0.0124,0.0391,0.0442,0.0256,2
0,0.0391,0.0442,0.0256,0.0229,0.0278,2
0,0.0256,0.0229,0.0278,0.0268,0.0173,1
0,0.0278,0.0268,0.0173,0.0111,0.0107,1
0,0.0173,0.0111,0.0107,0.015,0.0175,1
0,0.0107,0.015,0.0175,0.0289,0.0163,2
0,0.0175,0.0289,0.0163,0.0172,0.011,2
0,0.0163,0.0172,0.011,0.0077,0.0109,1
0,0.011,0.0077,0.0109,0.0111,0.0151,1
0,0.0109,0.0111,0.0151,0.0101,0.0197,1
0,0.0151,0.0101,0.0197,0.0202,0.0199,1
0,0.0197,0.0202,0.0199,0.0172,0.0168,1
0,0.0199,0.0172,0.0168,0.0171,0.022,1
0,0.0168,0.0171,0.022,0.0209,0.0203,1
0,0.022,0.0209,0.0203,0.0207,0.0225,1
0,0.0203,0.0207,0.0225,0.0223,0.0196,1
0,0.0225,0.0223,0.0196,0.0155,0.0197,1
0,0.0196,0.0155,0.0197,0.0151,0.0123,1
0,0.0197,0.0151,0.0123,0.0163,0.0167,1
0,0.0123,0.0163,0.0167,0.0167,0.0144,1
0,0.0167,0.0167,0.0144,0.0165,0.0227,1
0,0.0144,0.0165,0.0227,0.015,0.0178,1
0,0.0227,0.015,0.0178,0.0172,0.0191,1
0,0.0178,0.0172,0.0191,0.0184,0.0138,1
0,0.0191,0.0184,0.0138,0.016,0.0169,1
0,0.0138,0.016,0.0169,0.0139,0.0156,1
