,0,1,2,3,4,cluster
0,0.0424,0.0092,0.0078,0.0072,0.0073,2
0,0.0078,0.0072,0.0073,0.0077,0.006,1
0,0.0073,0.0077,0.006,0.0069,0.007,1
0,0.006,0.0069,0.007,0.006,0.0225,2
0,0.007,0.006,0.0225,0.0069,0.0039,2
0,0.0225,0.0069,0.0039,0.0031,0.0028,2
0,0.0039,0.0031,0.0028,0.0029,0.004,1
0,0.0028,0.0029,0.004,0.0042,0.0081,1
0,0.004,0.0042,0.0081,0.0032,0.0029,1
0,0.0081,0.0032,0.0029,0.0031,0.003,1
0,0.0029,0.0031,0.003,0.0027,0.0036,1
0,0.003,0.0027,0.0036,0.0026,0.0063,1
0,0.0036,0.0026,0.0063,0.011,0.0134,1
0,0.0063,0.011,0.0134,0.0136,0.0151,1
0,0.0134,0.0136,0.0151,0.0192,0.0129,1
0,0.0151,0.0192,0.0129,0.0172,0.0109,1
0,0.0129,0.0172,0.0109,0.0093,0.0149,1
0,0.0109,0.0093,0.0149,0.0134,0.0101,1
0,0.0149,0.0134,0.0101,0.009,0.0034,1
0,0.0101,0.009,0.0034,0.0024,0.0036,1
0,0.0034,0.0024,0.0036,0.005,0.0062,1
0,0.0036,0.005,0.0062,0.0038,0.004,1
0,0.0062,0.0038,0.004,0.0039,0.0051,1
0,0.004,0.0039,0.0051,0.0113,0.0131,1
0,0.0051,0.0113,0.0131,0.0136,0.0108,1
0,0.0131,0.0136,0.0108,0.0062,0.0095,1
0,0.0108,0.0062,0.0095,0.0125,0.0118,1
0,0.0095,0.0125,0.0118,0.0087,0.0146,1
0,0.0118,0.0087,0.0146,0.0131,0.0078,1
0,0.0146,0.0131,0.0078,0.0098,0.0064,1
0,0.0078,0.0098,0.0064,0.0083,0.0059,1
0,0.0064,0.0083,0.0059,0.0101,0.0182,1
0,0.0059,0.0101,0.0182,0.0126,0.0124,1
0,0.0182,0.0126,0.0124,0.0061,0.0108,1
0,0.0124,0.0061,0.0108,0.0265,0.0132,2
0,0.0108,0.0265,0.0132,0.014,0.016,2
0,0.0132,0.014,0.016,0.0099,0.0127,1
0,0.016,0.0099,0.0127,0.0126,0.005,1
0,0.0127,0.0126,0.005,0.0046,0.004,1
0,0.005,0.0046,0.004,0.0066,0.005,1
0,0.004,0.0066,0.005,0.0049,0.0201,2
0,0.005,0.0049,0.0201,0.0111,0.0144,2
0,0.0201,0.0111,0.0144,0.0045,0.0035,2
0,0.0144,0.0045,0.0035,0.0047,0.0052,1
0,0.0035,0.0047,0.0052,0.0107,0.0172,1
0,0.0052,0.0107,0.0172,0.02,0.0129,1
0,0.0172,0.02,0.0129,0.0183,0.0121,1
0,0.0129,0.0183,0.0121,0.0077,0.0073,1
0,0.0121,0.0077,0.0073,0.0057,0.0052,1
0,0.0073,0.0057,0.0052,0.0049,0.0112,1
0,0.0052,0.0049,0.0112,0.0118,0.0141,1
0,0.0112,0.0118,0.0141,0.0118,0.0061,1
0,0.0141,0.0118,0.0061,0.0055,0.0044,1
0,0.0061,0.0055,0.0044,0.0046,0.0039,1
0,0.0044,0.0046,0.0039,0.0053,0.0038,1
0,0.0039,0.0053,0.0038,0.005,0.0042,1
0,0.0038,0.005,0.0042,0.0045,0.0048,1
0,0.0042,0.0045,0.0048,0.0049,0.005,1
0,0.0048,0.0049,0.005,0.0057,0.0059,1
0,0.005,0.0057,0.0059,0.0047,0.0051,1
0,0.0059,0.0047,0.0051,0.005,0.0053,1
0,0.0051,0.005,0.0053,0.0043,0.005,1
0,0.0053,0.0043,0.005,0.0048,0.0045,1
0,0.005,0.0048,0.0045,0.0048,0.0049,1
0,0.0045,0.0048,0.0049,0.0041,0.007,1
0,0.0049,0.0041,0.007,0.0075,0.0058,1
0,0.007,0.0075,0.0058,0.0096,0.0073,1
0,0.0058,0.0096,0.0073,0.0068,0.0049,1
0,0.0073,0.0068,0.0049,0.0038,0.0026,1
0,0.0049,0.0038,0.0026,0.0036,0.0035,1
0,0.0026,0.0036,0.0035,0.0023,0.0042,1
0,0.0035,0.0023,0.0042,0.0073,0.0103,1
0,0.0042,0.0073,0.0103,0.0056,0.0083,1
0,0.0103,0.0056,0.0083,0.0113,0.0075,1
0,0.0083,0.0113,0.0075,0.0071,0.0091,1
0,0.0075,0.0071,0.0091,0.0099,0.0111,1
0,0.0091,0.0099,0.0111,0.0122,0.0089,1
0,0.0111,0.0122,0.0089,0.0082,0.0088,1
0,0.0089,0.0082,0.0088,0.007,0.0058,1
0,0.0088,0.007,0.0058,0.0059,0.0158,1
0,0.0058,0.0059,0.0158,0.0089,0.0064,1
0,0.0158,0.0089,0.0064,0.0177,0.0092,2
0,0.0064,0.0177,0.0092,0.0091,0.0109,1
0,0.0092,0.0091,0.0109,0.013,0.0098,1
0,0.0109,0.013,0.0098,0.0077,0.0064,1
0,0.0098,0.0077,0.0064,0.0139,0.0104,1
0,0.0064,0.0139,0.0104,0.0082,0.01,1
0,0.0104,0.0082,0.01,0.0074,0.0195,1
0,0.01,0.0074,0.0195,0.008,0.011,2
0,0.0195,0.008,0.011,0.008,0.0139,1
0,0.011,0.008,0.0139,0.0087,0.0092,1
0,0.0139,0.0087,0.0092,0.0101,0.0107,1
0,0.0092,0.0101,0.0107,0.0085,0.012,1
0,0.0107,0.0085,0.012,0.0043,0.0041,1
0,0.012,0.0043,0.0041,0.0084,0.0151,1
0,0.0041,0.0084,0.0151,0.012,0.0078,1
0,0.0151,0.012,0.0078,0.0112,0.0122,1
0,0.0078,0.0112,0.0122,0.0075,0.012,1
0,0.0122,0.0075,0.012,0.0117,0.0079,1
0,0.012,0.0117,0.0079,0.0101,0.011,1
0,0.0079,0.0101,0.011,0.0073,0.0081,1
0,0.011,0.0073,0.0081,0.0158,0.0073,1
0,0.0081,0.0158,0.0073,0.0113,0.0135,1
0,0.0073,0.0113,0.0135,0.0096,0.0128,1
0,0.0135,0.0096,0.0128,0.0081,0.0212,1
0,0.0128,0.0081,0.0212,0.0085,0.0157,2
0,0.0212,0.0085,0.0157,0.0074,0.0258,2
0,0.0157,0.0074,0.0258,0.0209,0.0125,2
