,0,1,2,3,4,cluster
0,0.0088,0.0018,0.0018,0.0042,0.0031,1
0,0.0018,0.0042,0.0031,0.0021,0.0017,1
0,0.0031,0.0021,0.0017,0.004,0.0017,1
0,0.0017,0.004,0.0017,0.0019,0.002,1
0,0.0017,0.0019,0.002,0.002,0.0028,1
0,0.002,0.002,0.0028,0.0022,0.0018,1
0,0.0028,0.0022,0.0018,0.0046,0.0024,1
0,0.0018,0.0046,0.0024,0.0019,0.0072,1
0,0.0024,0.0019,0.0072,0.0027,0.002,1
0,0.0072,0.0027,0.002,0.0058,0.0033,1
0,0.002,0.0058,0.0033,0.0025,0.0025,1
0,0.0033,0.0025,0.0025,0.0277,0.0021,3
0,0.0025,0.0277,0.0021,0.0363,0.1293,4
0,0.0021,0.0363,0.1293,0.0383,0.0141,4
0,0.1293,0.0383,0.0141,0.0563,0.038,4
0,0.0141,0.0563,0.038,0.0319,0.0178,4
0,0.038,0.0319,0.0178,0.0209,0.0236,3
0,0.0178,0.0209,0.0236,0.0063,0.0049,3
0,0.0236,0.0063,0.0049,0.0032,0.0166,3
0,0.0049,0.0032,0.0166,0.0269,0.0075,3
0,0.0166,0.0269,0.0075,0.011,0.0087,3
0,0.0075,0.011,0.0087,0.0043,0.0042,2
0,0.0087,0.0043,0.0042,0.007,0.0113,2
0,0.0042,0.007,0.0113,0.0094,0.0109,2
0,0.0113,0.0094,0.0109,0.0379,0.0283,3
0,0.0109,0.0379,0.0283,0.0674,0.0561,4
0,0.0283,0.0674,0.0561,0.0566,0.0228,4
0,0.0561,0.0566,0.0228,0.0535,0.0291,4
0,0.0228,0.0535,0.0291,0.0914,0.0995,4
0,0.0291,0.0914,0.0995,0.074,0.0608,4
0,0.0995,0.074,0.0608,0.0226,0.0313,4
0,0.0608,0.0226,0.0313,0.0543,0.1213,4
0,0.0313,0.0543,0.1213,0.0487,0.019,4
0,0.1213,0.0487,0.019,0.0619,0.0579,4
0,0.019,0.0619,0.0579,0.0087,0.0041,4
0,0.0579,0.0087,0.0041,0.0387,0.005,4
0,0.0041,0.0387,0.005,0.057,0.0461,4
0,0.005,0.057,0.0461,0.0687,0.1578,4
0,0.0461,0.0687,0.1578,0.0269,0.089,4
0,0.1578,0.0269,0.089,0.0123,0.0203,4
0,0.089,0.0123,0.0203,0.024,0.0097,4
0,0.0203,0.024,0.0097,0.0167,0.0246,3
0,0.0097,0.0167,0.0246,0.0237,0.0071,3
0,0.0246,0.0237,0.0071,0.013,0.0099,3
0,0.0071,0.013,0.0099,0.0115,0.0088,2
