,seconds,date,activity_load_2d,activity_load_3d
78,"1,802",[2023-04-23 18:10:39 569],"0,0683","0,0928"
184,"2,802",[2023-04-23 18:10:40 569],"0,085","0,1123"
295,"3,802",[2023-04-23 18:10:41 569],"0,0588","0,071"
406,"4,802",[2023-04-23 18:10:42 569],"0,0267","0,0356"
517,"5,802",[2023-04-23 18:10:43 569],"0,0489","0,0677"
625,"6,802",[2023-04-23 18:10:44 569],"0,0453","0,0642"
733,"7,802",[2023-04-23 18:10:45 569],"0,0633","0,0918"
844,"8,802",[2023-04-23 18:10:46 569],"0,0538","0,0757"
954,"9,802",[2023-04-23 18:10:47 569],"0,0725","0,0892"
1060,"10,802",[2023-04-23 18:10:48 569],"0,0637","0,0786"
1170,"11,802",[2023-04-23 18:10:49 569],"0,0904","0,1129"
1281,"12,802",[2023-04-23 18:10:50 569],"0,1078","0,1232"
1391,"13,802",[2023-04-23 18:10:51 569],"0,095","0,1197"
1498,"14,802",[2023-04-23 18:10:52 569],"0,0707","0,0782"
1609,"15,802",[2023-04-23 18:10:53 569],"0,0278","0,0354"
1720,"16,802",[2023-04-23 18:10:54 569],"0,0187","0,0222"
1829,"17,802",[2023-04-23 18:10:55 569],"0,0423","0,0553"
1936,"18,802",[2023-04-23 18:10:56 569],"0,0494","0,0643"
2047,"19,802",[2023-04-23 18:10:57 569],"0,0865","0,1145"
2158,"20,802",[2023-04-23 18:10:58 569],"0,0399","0,0498"
2264,"21,802",[2023-04-23 18:10:59 569],"0,0377","0,0436"
2374,"22,802",[2023-04-23 18:11:00 569],"0,0524","0,0615"
2485,"23,802",[2023-04-23 18:11:01 569],"0,0251","0,0299"
2595,"24,802",[2023-04-23 18:11:02 569],"0,0136","0,0156"
2702,"25,802",[2023-04-23 18:11:03 569],"0,0134","0,0166"
2813,"26,802",[2023-04-23 18:11:04 569],"0,0383","0,0474"
2924,"27,802",[2023-04-23 18:11:05 569],"0,1372","0,1579"
3034,"28,802",[2023-04-23 18:11:06 569],"0,2097","0,249"
3142,"29,802",[2023-04-23 18:11:07 569],"0,0815","0,1045"
3253,"30,802",[2023-04-23 18:11:08 569],"0,0808","0,1023"
3364,"31,802",[2023-04-23 18:11:09 569],"0,1164","0,173"
3472,"32,802",[2023-04-23 18:11:10 569],"0,1493","0,2001"
3581,"33,802",[2023-04-23 18:11:11 569],"0,1066","0,1416"
3692,"34,802",[2023-04-23 18:11:12 569],"0,1858","0,2098"
3802,"35,802",[2023-04-23 18:11:13 569],"0,0397","0,0604"
3908,"36,802",[2023-04-23 18:11:14 569],"0,0104","0,0124"
4018,"37,802",[2023-04-23 18:11:15 569],"0,0101","0,0141"
4129,"38,802",[2023-04-23 18:11:16 569],"0,0137","0,0189"
4239,"39,802",[2023-04-23 18:11:17 569],"0,0112","0,016"
4345,"40,802",[2023-04-23 18:11:18 569],"0,0156","0,0196"
4456,"41,802",[2023-04-23 18:11:19 569],"0,0073","0,0091"
4567,"42,802",[2023-04-23 18:11:20 569],"0,0061","0,0076"
4678,"43,802",[2023-04-23 18:11:21 569],"0,0101","0,0118"
4785,"44,802",[2023-04-23 18:11:22 569],"0,0099","0,0139"
4894,"45,802",[2023-04-23 18:11:23 569],"0,0109","0,0147"
5005,"46,802",[2023-04-23 18:11:24 569],"0,0125","0,016"
5115,"47,802",[2023-04-23 18:11:25 569],"0,009","0,0102"
5221,"48,802",[2023-04-23 18:11:26 569],"0,0052","0,0071"
5332,"49,802",[2023-04-23 18:11:27 569],"0,0054","0,0075"
5443,"50,802",[2023-04-23 18:11:28 569],"0,003","0,0038"
5552,"51,802",[2023-04-23 18:11:29 569],"0,0036","0,0046"
5658,"52,802",[2023-04-23 18:11:30 569],"0,0055","0,0076"
5769,"53,802",[2023-04-23 18:11:31 569],"0,003","0,004"
5880,"54,802",[2023-04-23 18:11:32 569],"0,002","0,0024"
5988,"55,802",[2023-04-23 18:11:33 569],"0,004","0,0058"
6098,"56,802",[2023-04-23 18:11:34 569],"0,0099","0,012"
6209,"57,802",[2023-04-23 18:11:35 569],"0,0051","0,0066"
6320,"58,802",[2023-04-23 18:11:36 569],"0,0042","0,0052"
6427,"59,802",[2023-04-23 18:11:37 569],"0,0054","0,0062"
6537,"60,802",[2023-04-23 18:11:38 569],"0,0034","0,0042"
6648,"61,802",[2023-04-23 18:11:39 569],"0,0035","0,0043"
6776,"62,962",[2023-04-23 18:11:40 729],"0,0031","0,0037"
6883,"63,962",[2023-04-23 18:11:41 729],"0,0025","0,003"
6994,"64,962",[2023-04-23 18:11:42 729],"0,0027","0,0032"
7105,"65,962",[2023-04-23 18:11:43 729],"0,0046","0,0053"
7212,"66,962",[2023-04-23 18:11:44 729],"0,0045","0,0051"
7321,"67,962",[2023-04-23 18:11:45 729],"0,0038","0,0045"
7432,"68,962",[2023-04-23 18:11:46 729],"0,0062","0,0073"
7543,"69,962",[2023-04-23 18:11:47 729],"0,0053","0,0061"
7648,"70,962",[2023-04-23 18:11:48 729],"0,0072","0,0092"
7758,"71,962",[2023-04-23 18:11:49 729],"0,0091","0,0107"
7869,"72,962",[2023-04-23 18:11:50 729],"0,0113","0,0138"
7980,"73,962",[2023-04-23 18:11:51 729],"0,0089","0,0116"
8086,"74,962",[2023-04-23 18:11:52 729],"0,017","0,0223"
8197,"75,962",[2023-04-23 18:11:53 729],"0,012","0,0154"
8308,"76,962",[2023-04-23 18:11:54 729],"0,0139","0,0236"
