,seconds,date,hr
121857,"1109,802",[2023-04-23 18:28:44 051],92.0
121914,"1110,302",[2023-04-23 18:28:44 551],91.0
121970,"1110,802",[2023-04-23 18:28:45 051],90.0
122027,"1111,302",[2023-04-23 18:28:45 551],89.0
122085,"1111,802",[2023-04-23 18:28:46 051],88.0
122136,"1112,302",[2023-04-23 18:28:46 551],87.0
122193,"1112,802",[2023-04-23 18:28:47 051],86.0
122250,"1113,302",[2023-04-23 18:28:47 551],85.0
122308,"1113,802",[2023-04-23 18:28:48 051],84.0
122363,"1114,302",[2023-04-23 18:28:48 551],84.0
122421,"1114,802",[2023-04-23 18:28:49 051],84.0
122478,"1115,302",[2023-04-23 18:28:49 551],84.0
122536,"1115,802",[2023-04-23 18:28:50 051],84.0
122591,"1116,302",[2023-04-23 18:28:50 551],84.0
122646,"1116,802",[2023-04-23 18:28:51 051],84.0
122701,"1117,302",[2023-04-23 18:28:51 551],84.0
122758,"1117,802",[2023-04-23 18:28:52 051],84.0
122814,"1118,302",[2023-04-23 18:28:52 551],85.0
122872,"1118,802",[2023-04-23 18:28:53 051],87.0
122929,"1119,302",[2023-04-23 18:28:53 551],89.0
122987,"1119,802",[2023-04-23 18:28:54 051],91.0
123041,"1120,302",[2023-04-23 18:28:54 551],92.0
123096,"1120,802",[2023-04-23 18:28:55 051],92.0
123153,"1121,302",[2023-04-23 18:28:55 551],92.0
123210,"1121,802",[2023-04-23 18:28:56 051],92.0
123265,"1122,302",[2023-04-23 18:28:56 551],91.0
123323,"1122,802",[2023-04-23 18:28:57 051],90.0
123380,"1123,302",[2023-04-23 18:28:57 551],90.0
123436,"1123,802",[2023-04-23 18:28:58 051],88.0
123490,"1124,302",[2023-04-23 18:28:58 551],88.0
123546,"1124,802",[2023-04-23 18:28:59 051],87.0
123602,"1125,302",[2023-04-23 18:28:59 551],87.0
123659,"1125,802",[2023-04-23 18:29:00 051],87.0
123716,"1126,302",[2023-04-23 18:29:00 551],86.0
123774,"1126,802",[2023-04-23 18:29:01 051],86.0
123829,"1127,302",[2023-04-23 18:29:01 551],85.0
123885,"1127,802",[2023-04-23 18:29:02 051],85.0
123940,"1128,302",[2023-04-23 18:29:02 551],84.0
123996,"1128,802",[2023-04-23 18:29:03 051],84.0
124053,"1129,302",[2023-04-23 18:29:03 551],83.0
124111,"1129,802",[2023-04-23 18:29:04 051],84.0
