,seconds,date,hr
13739,"126,304",[2023-04-23 18:12:44 071],75.0
13795,"126,804",[2023-04-23 18:12:44 571],75.0
13853,"127,304",[2023-04-23 18:12:45 071],75.0
13908,"127,804",[2023-04-23 18:12:45 571],75.0
13962,"128,304",[2023-04-23 18:12:46 071],75.0
14018,"128,804",[2023-04-23 18:12:46 571],75.0
14076,"129,304",[2023-04-23 18:12:47 071],75.0
14133,"129,804",[2023-04-23 18:12:47 571],75.0
14190,"130,304",[2023-04-23 18:12:48 071],76.0
14246,"130,804",[2023-04-23 18:12:48 571],76.0
14304,"131,304",[2023-04-23 18:12:49 071],77.0
14356,"131,804",[2023-04-23 18:12:49 571],77.0
14412,"132,304",[2023-04-23 18:12:50 071],77.0
14470,"132,804",[2023-04-23 18:12:50 571],77.0
14528,"133,304",[2023-04-23 18:12:51 071],77.0
14585,"133,804",[2023-04-23 18:12:51 571],77.0
14643,"134,304",[2023-04-23 18:12:52 071],77.0
14700,"134,804",[2023-04-23 18:12:52 571],78.0
14754,"135,304",[2023-04-23 18:12:53 071],78.0
14808,"135,804",[2023-04-23 18:12:53 571],78.0
14867,"136,304",[2023-04-23 18:12:54 071],78.0
14923,"136,804",[2023-04-23 18:12:54 571],78.0
14981,"137,304",[2023-04-23 18:12:55 071],78.0
15038,"137,804",[2023-04-23 18:12:55 571],78.0
15095,"138,304",[2023-04-23 18:12:56 071],78.0
15151,"138,804",[2023-04-23 18:12:56 571],78.0
15203,"139,304",[2023-04-23 18:12:57 071],78.0
15259,"139,804",[2023-04-23 18:12:57 571],78.0
15316,"140,304",[2023-04-23 18:12:58 071],78.0
15372,"140,804",[2023-04-23 18:12:58 571],78.0
15430,"141,304",[2023-04-23 18:12:59 071],78.0
15486,"141,804",[2023-04-23 18:12:59 571],78.0
15544,"142,304",[2023-04-23 18:13:00 071],78.0
15597,"142,804",[2023-04-23 18:13:00 571],78.0
15652,"143,304",[2023-04-23 18:13:01 071],78.0
15709,"143,804",[2023-04-23 18:13:01 571],79.0
15767,"144,304",[2023-04-23 18:13:02 071],79.0
15823,"144,804",[2023-04-23 18:13:02 571],79.0
15880,"145,304",[2023-04-23 18:13:03 071],79.0
15937,"145,804",[2023-04-23 18:13:03 571],79.0
15993,"146,304",[2023-04-23 18:13:04 071],79.0
16387,"149,804",[2023-04-23 18:13:07 571],80.0
16440,"150,304",[2023-04-23 18:13:08 071],80.0
16496,"150,804",[2023-04-23 18:13:08 571],80.0
16552,"151,304",[2023-04-23 18:13:09 071],80.0
16608,"151,804",[2023-04-23 18:13:09 571],80.0
16665,"152,304",[2023-04-23 18:13:10 071],80.0
16721,"152,804",[2023-04-23 18:13:10 571],81.0
16777,"153,304",[2023-04-23 18:13:11 071],81.0
16831,"153,804",[2023-04-23 18:13:11 571],81.0
16885,"154,304",[2023-04-23 18:13:12 071],81.0
16940,"154,804",[2023-04-23 18:13:12 571],81.0
16997,"155,304",[2023-04-23 18:13:13 071],81.0
17053,"155,804",[2023-04-23 18:13:13 571],81.0
17109,"156,304",[2023-04-23 18:13:14 071],81.0
17165,"156,804",[2023-04-23 18:13:14 571],81.0
17222,"157,304",[2023-04-23 18:13:15 071],81.0
17279,"157,804",[2023-04-23 18:13:15 571],81.0
17333,"158,304",[2023-04-23 18:13:16 071],81.0
17385,"158,804",[2023-04-23 18:13:16 571],81.0
17442,"159,304",[2023-04-23 18:13:17 071],81.0
17497,"159,804",[2023-04-23 18:13:17 571],81.0
17554,"160,304",[2023-04-23 18:13:18 071],81.0
17610,"160,804",[2023-04-23 18:13:18 571],81.0
17665,"161,304",[2023-04-23 18:13:19 071],81.0
18156,"165,804",[2023-04-23 18:13:23 571],81.0
18209,"166,304",[2023-04-23 18:13:24 071],81.0
18265,"166,804",[2023-04-23 18:13:24 571],81.0
18323,"167,304",[2023-04-23 18:13:25 071],81.0
18380,"167,804",[2023-04-23 18:13:25 571],81.0
18438,"168,304",[2023-04-23 18:13:26 071],81.0
18495,"168,804",[2023-04-23 18:13:26 571],81.0
18551,"169,304",[2023-04-23 18:13:27 071],81.0
18604,"169,804",[2023-04-23 18:13:27 571],81.0
18658,"170,304",[2023-04-23 18:13:28 071],81.0
18715,"170,804",[2023-04-23 18:13:28 571],81.0
18773,"171,304",[2023-04-23 18:13:29 071],81.0
18829,"171,804",[2023-04-23 18:13:29 571],82.0
18887,"172,304",[2023-04-23 18:13:30 071],82.0
18944,"172,804",[2023-04-23 18:13:30 571],82.0
18996,"173,304",[2023-04-23 18:13:31 071],82.0
19050,"173,804",[2023-04-23 18:13:31 571],82.0
19108,"174,304",[2023-04-23 18:13:32 071],82.0
19165,"174,804",[2023-04-23 18:13:32 571],82.0
19221,"175,304",[2023-04-23 18:13:33 071],82.0
19278,"175,804",[2023-04-23 18:13:33 571],83.0
19335,"176,304",[2023-04-23 18:13:34 071],83.0
19389,"176,804",[2023-04-23 18:13:34 571],83.0
19442,"177,304",[2023-04-23 18:13:35 071],83.0
19499,"177,804",[2023-04-23 18:13:35 571],83.0
19555,"178,304",[2023-04-23 18:13:36 071],83.0
19612,"178,804",[2023-04-23 18:13:36 571],83.0
19669,"179,304",[2023-04-23 18:13:37 071],83.0
19726,"179,804",[2023-04-23 18:13:37 571],83.0
