seconds,date,speed,hr,core_temperature,x,y,z,raw_rr,filtered_rr,difference_rr,hr_rmssd,activity_load_2d,activity_load_3d
144.148,2023-04-23 18:13:01.915,,,,,,,697.0,,,,,
144.706,2023-04-23 18:13:02.473,,,,,,,,642.0,81.0,,,
144.845,2023-04-23 18:13:02.612,,,,,,,544.0,,,,,
145.348,2023-04-23 18:13:03.115,,,,,,,,652.0,284.0,,,
145.389,2023-04-23 18:13:03.156,,,,,,,504.0,,,,,
145.893,2023-04-23 18:13:03.660,,,,,,,734.0,,,,,
146.0,2023-04-23 18:13:03.767,,,,,,,,663.0,0.0,,,
146.627,2023-04-23 18:13:04.394,,,,,,,524.0,,,,,
146.663,2023-04-23 18:13:04.430,,,,,,,,901.0,-207.0,,,
147.151,2023-04-23 18:13:04.918,,,,,,,611.0,,,,,
147.564,2023-04-23 18:13:05.331,,,,,,,,845.0,-183.0,,,
147.762,2023-04-23 18:13:05.529,,,,,,,504.0,,,,,
148.266,2023-04-23 18:13:06.033,,,,,,,652.0,,,,,
148.409,2023-04-23 18:13:06.176,,,,,,,,726.0,145.0,,,
148.918,2023-04-23 18:13:06.685,,,,,,,906.0,,,,,
149.135,2023-04-23 18:13:06.902,,,,,,,,741.0,230.0,,,
149.824,2023-04-23 18:13:07.591,,,,,,,481.0,,,,,
149.876,2023-04-23 18:13:07.643,,,,,,,,831.0,-254.0,,,
150.305,2023-04-23 18:13:08.072,,,,,,,3243.0,,,,,
150.707,2023-04-23 18:13:08.474,,,,,,,,711.0,436.0,,,
151.418,2023-04-23 18:13:09.185,,,,,,,,717.0,383.0,,,
152.135,2023-04-23 18:13:09.902,,,,,,,,646.0,217.0,,,
152.781,2023-04-23 18:13:10.548,,,,,,,,697.0,0.0,,,
153.478,2023-04-23 18:13:11.245,,,,,,,,664.0,120.0,,,
153.548,2023-04-23 18:13:11.315,,,,,,,1010.0,,,,,
154.142,2023-04-23 18:13:11.909,,,,,,,,738.0,234.0,,,
154.88,2023-04-23 18:13:12.647,,,,,,,,734.0,0.0,,,
155.614,2023-04-23 18:13:13.381,,,,,,,,695.0,171.0,,,
156.309,2023-04-23 18:13:14.076,,,,,,,,640.0,29.0,,,
156.949,2023-04-23 18:13:14.716,,,,,,,,729.0,225.0,,,
157.678,2023-04-23 18:13:15.445,,,,,,,,652.0,0.0,,,
158.33,2023-04-23 18:13:16.097,,,,,,,,906.0,0.0,,,
159.236,2023-04-23 18:13:17.003,,,,,,,,649.0,168.0,,,
159.885,2023-04-23 18:13:17.652,,,,,,,,892.0,-2351.0,,,
160.777,2023-04-23 18:13:18.544,,,,,,,,767.0,-243.0,,,
166.247,2023-04-23 18:13:24.014,,,,,,,,679.0,0.0,,,
166.49,2023-04-23 18:13:24.257,,,,,,,679.0,,,,,
166.926,2023-04-23 18:13:24.693,,,,,,,,639.0,220.0,,,
167.169,2023-04-23 18:13:24.936,,,,,,,419.0,,,,,
167.565,2023-04-23 18:13:25.332,,,,,,,,709.0,325.0,,,
167.588,2023-04-23 18:13:25.355,,,,,,,384.0,,,,,
167.972,2023-04-23 18:13:25.739,,,,,,,358.0,,,,,
168.274,2023-04-23 18:13:26.041,,,,,,,,630.0,272.0,,,
168.33,2023-04-23 18:13:26.097,,,,,,,355.0,,,,,
168.685,2023-04-23 18:13:26.452,,,,,,,1053.0,,,,,
168.904,2023-04-23 18:13:26.671,,,,,,,,635.0,280.0,,,
169.539,2023-04-23 18:13:27.306,,,,,,,,872.0,-181.0,,,
169.738,2023-04-23 18:13:27.505,,,,,,,1047.0,,,,,
170.411,2023-04-23 18:13:28.178,,,,,,,,853.0,-194.0,,,
170.785,2023-04-23 18:13:28.552,,,,,,,336.0,,,,,
171.121,2023-04-23 18:13:28.888,,,,,,,376.0,,,,,
171.264,2023-04-23 18:13:29.031,,,,,,,,670.0,334.0,,,
171.497,2023-04-23 18:13:29.264,,,,,,,479.0,,,,,
171.934,2023-04-23 18:13:29.701,,,,,,,,718.0,342.0,,,
171.976,2023-04-23 18:13:29.743,,,,,,,345.0,,,,,
172.321,2023-04-23 18:13:30.088,,,,,,,1284.0,,,,,
172.652,2023-04-23 18:13:30.419,,,,,,,,637.0,158.0,,,
173.289,2023-04-23 18:13:31.056,,,,,,,,653.0,308.0,,,
173.605,2023-04-23 18:13:31.372,,,,,,,411.0,,,,,
173.942,2023-04-23 18:13:31.709,,,,,,,,811.0,-473.0,,,
174.016,2023-04-23 18:13:31.783,,,,,,,430.0,,,,,
174.446,2023-04-23 18:13:32.213,,,,,,,869.0,,,,,
174.753,2023-04-23 18:13:32.520,,,,,,,,647.0,236.0,,,
175.315,2023-04-23 18:13:33.082,,,,,,,1157.0,,,,,
175.4,2023-04-23 18:13:33.167,,,,,,,,613.0,183.0,,,
176.013,2023-04-23 18:13:33.780,,,,,,,,869.0,0.0,,,
176.472,2023-04-23 18:13:34.239,,,,,,,993.0,,,,,
176.882,2023-04-23 18:13:34.649,,,,,,,,806.0,-351.0,,,
177.465,2023-04-23 18:13:35.232,,,,,,,1296.0,,,,,
177.688,2023-04-23 18:13:35.455,,,,,,,,879.0,-114.0,,,
178.567,2023-04-23 18:13:36.334,,,,,,,,850.0,-446.0,,,
178.761,2023-04-23 18:13:36.528,,,,,,,417.0,,,,,
179.178,2023-04-23 18:13:36.945,,,,,,,320.0,,,,,
179.417,2023-04-23 18:13:37.184,,,,,,,,635.0,218.0,,,
179.498,2023-04-23 18:13:37.265,,,,,,,436.0,,,,,
179.934,2023-04-23 18:13:37.701,,,,,,,1136.0,,,,,
180.052,2023-04-23 18:13:37.819,,,,,,,,705.0,385.0,,,
180.757,2023-04-23 18:13:38.524,,,,,,,,603.0,167.0,,,
181.07,2023-04-23 18:13:38.837,,,,,,,612.0,,,,,
181.36,2023-04-23 18:13:39.127,,,,,,,,751.0,-385.0,,,
181.682,2023-04-23 18:13:39.449,,,,,,,532.0,,,,,
182.111,2023-04-23 18:13:39.878,,,,,,,,612.0,0.0,,,
182.214,2023-04-23 18:13:39.981,,,,,,,1117.0,,,,,
182.723,2023-04-23 18:13:40.490,,,,,,,,655.0,123.0,,,
183.331,2023-04-23 18:13:41.098,,,,,,,306.0,,,,,
183.378,2023-04-23 18:13:41.145,,,,,,,,876.0,-241.0,,,
183.637,2023-04-23 18:13:41.404,,,,,,,427.0,,,,,
184.064,2023-04-23 18:13:41.831,,,,,,,501.0,,,,,
184.254,2023-04-23 18:13:42.021,,,,,,,,611.0,305.0,,,
184.565,2023-04-23 18:13:42.332,,,,,,,527.0,,,,,
184.865,2023-04-23 18:13:42.632,,,,,,,,618.0,191.0,,,
185.092,2023-04-23 18:13:42.859,,,,,,,628.0,,,,,
185.483,2023-04-23 18:13:43.250,,,,,,,,718.0,217.0,,,
185.72,2023-04-23 18:13:43.487,,,,,,,409.0,,,,,
186.129,2023-04-23 18:13:43.896,,,,,,,762.0,,,,,
186.201,2023-04-23 18:13:43.968,,,,,,,,664.0,137.0,,,
186.865,2023-04-23 18:13:44.632,,,,,,,,628.0,0.0,,,
186.891,2023-04-23 18:13:44.658,,,,,,,981.0,,,,,
187.493,2023-04-23 18:13:45.260,,,,,,,,651.0,242.0,,,
188.144,2023-04-23 18:13:45.911,,,,,,,,762.0,0.0,,,
188.906,2023-04-23 18:13:46.673,,,,,,,,851.0,-130.0,,,
200.328,2023-04-23 18:13:58.095,,,,,,,,782.0,0.0,,,
200.458,2023-04-23 18:13:58.225,,,,,,,782.0,,,,,
201.11,2023-04-23 18:13:58.877,,,,,,,,720.0,208.0,,,
201.24,2023-04-23 18:13:59.007,,,,,,,512.0,,,,,
201.752,2023-04-23 18:13:59.519,,,,,,,285.0,,,,,
201.83,2023-04-23 18:13:59.597,,,,,,,,674.0,389.0,,,
202.037,2023-04-23 18:13:59.804,,,,,,,1303.0,,,,,
202.504,2023-04-23 18:14:00.271,,,,,,,,905.0,-398.0,,,
203.34,2023-04-23 18:14:01.107,,,,,,,589.0,,,,,
203.409,2023-04-23 18:14:01.176,,,,,,,,689.0,100.0,,,
203.929,2023-04-23 18:14:01.696,,,,,,,401.0,,,,,
204.098,2023-04-23 18:14:01.865,,,,,,,,691.0,290.0,,,
204.33,2023-04-23 18:14:02.097,,,,,,,440.0,,,,,
204.77,2023-04-23 18:14:02.537,,,,,,,449.0,,,,,
204.789,2023-04-23 18:14:02.556,,,,,,,,743.0,303.0,,,
205.219,2023-04-23 18:14:02.986,,,,,,,1237.0,,,,,
205.532,2023-04-23 18:14:03.299,,,,,,,,722.0,273.0,,,
206.254,2023-04-23 18:14:04.021,,,,,,,,892.0,-345.0,,,
206.456,2023-04-23 18:14:04.223,,,,,,,583.0,,,,,
207.039,2023-04-23 18:14:04.806,,,,,,,384.0,,,,,
207.146,2023-04-23 18:14:04.913,,,,,,,,701.0,118.0,,,
207.423,2023-04-23 18:14:05.190,,,,,,,619.0,,,,,
207.847,2023-04-23 18:14:05.614,,,,,,,,727.0,343.0,,,
208.042,2023-04-23 18:14:05.809,,,,,,,421.0,,,,,
208.463,2023-04-23 18:14:06.230,,,,,,,620.0,,,,,
208.574,2023-04-23 18:14:06.341,,,,,,,,619.0,0.0,,,
209.083,2023-04-23 18:14:06.850,,,,,,,554.0,,,,,
209.193,2023-04-23 18:14:06.960,,,,,,,,652.0,231.0,,,
209.637,2023-04-23 18:14:07.404,,,,,,,401.0,,,,,
209.845,2023-04-23 18:14:07.612,,,,,,,,620.0,0.0,,,
210.038,2023-04-23 18:14:07.805,,,,,,,381.0,,,,,
210.419,2023-04-23 18:14:08.186,,,,,,,1974.0,,,,,
210.465,2023-04-23 18:14:08.232,,,,,,,,638.0,84.0,,,
211.103,2023-04-23 18:14:08.870,,,,,,,,691.0,290.0,,,
211.794,2023-04-23 18:14:09.561,,,,,,,,733.0,352.0,,,
212.393,2023-04-23 18:14:10.160,,,,,,,1309.0,,,,,
212.527,2023-04-23 18:14:10.294,,,,,,,,904.0,-1070.0,,,
213.431,2023-04-23 18:14:11.198,,,,,,,,926.0,-383.0,,,
213.702,2023-04-23 18:14:11.469,,,,,,,1443.0,,,,,
214.357,2023-04-23 18:14:12.124,,,,,,,,764.0,-679.0,,,
215.121,2023-04-23 18:14:12.888,,,,,,,,781.0,-231.0,,,
215.145,2023-04-23 18:14:12.912,,,,,,,1012.0,,,,,
215.902,2023-04-23 18:14:13.669,,,,,,,,712.0,133.0,,,
216.157,2023-04-23 18:14:13.924,,,,,,,579.0,,,,,
216.614,2023-04-23 18:14:14.381,,,,,,,,764.0,-241.0,,,
216.736,2023-04-23 18:14:14.503,,,,,,,1005.0,,,,,
217.378,2023-04-23 18:14:15.145,,,,,,,,638.0,84.0,,,
217.741,2023-04-23 18:14:15.508,,,,,,,554.0,,,,,
