seconds,date,activity_load_2d,activity_load_3d
97.962,2023-04-23 18:12:15.729,0.011,0.0152
98.962,2023-04-23 18:12:16.729,0.0061,0.0075
99.962,2023-04-23 18:12:17.729,0.0113,0.0148
100.962,2023-04-23 18:12:18.729,0.0103,0.0149
101.962,2023-04-23 18:12:19.729,0.0055,0.0088
102.962,2023-04-23 18:12:20.729,0.0068,0.011
103.962,2023-04-23 18:12:21.729,0.029,0.0331
104.962,2023-04-23 18:12:22.729,0.0162,0.0226
105.962,2023-04-23 18:12:23.729,0.013,0.0228
106.962,2023-04-23 18:12:24.729,0.0282,0.0377
107.962,2023-04-23 18:12:25.729,0.0325,0.0467
108.962,2023-04-23 18:12:26.729,0.0198,0.0279
109.962,2023-04-23 18:12:27.729,0.0161,0.0261
110.962,2023-04-23 18:12:28.729,0.0199,0.029
111.962,2023-04-23 18:12:29.729,0.02,0.0294
112.962,2023-04-23 18:12:30.729,0.0159,0.0229
113.962,2023-04-23 18:12:31.729,0.0164,0.0234
114.962,2023-04-23 18:12:32.729,0.0148,0.0212
115.962,2023-04-23 18:12:33.729,0.0123,0.019
116.962,2023-04-23 18:12:34.729,0.0142,0.0214
117.962,2023-04-23 18:12:35.729,0.0142,0.0216
118.962,2023-04-23 18:12:36.729,0.0139,0.021
119.962,2023-04-23 18:12:37.729,0.0141,0.0215
120.962,2023-04-23 18:12:38.729,0.0139,0.0206
121.962,2023-04-23 18:12:39.729,0.0132,0.0214
122.962,2023-04-23 18:12:40.729,0.0152,0.0219
124.123,2023-04-23 18:12:41.890,0.0145,0.0212
125.123,2023-04-23 18:12:42.890,0.0143,0.0214
126.123,2023-04-23 18:12:43.890,0.0121,0.0188
127.123,2023-04-23 18:12:44.890,0.0125,0.0189
128.123,2023-04-23 18:12:45.890,0.0119,0.0187
129.123,2023-04-23 18:12:46.890,0.0131,0.0201
130.123,2023-04-23 18:12:47.890,0.0157,0.0225
131.123,2023-04-23 18:12:48.890,0.016,0.0237
132.123,2023-04-23 18:12:49.890,0.0125,0.0186
133.123,2023-04-23 18:12:50.890,0.0119,0.0189
134.123,2023-04-23 18:12:51.890,0.0125,0.0188
135.123,2023-04-23 18:12:52.890,0.0117,0.0174
136.123,2023-04-23 18:12:53.890,0.0117,0.0184
137.123,2023-04-23 18:12:54.890,0.0116,0.0176
138.123,2023-04-23 18:12:55.890,0.0133,0.0194
139.123,2023-04-23 18:12:56.890,0.0123,0.0186
140.123,2023-04-23 18:12:57.890,0.0116,0.0176
141.123,2023-04-23 18:12:58.890,0.0109,0.0157
142.123,2023-04-23 18:12:59.890,0.0108,0.0163
143.123,2023-04-23 18:13:00.890,0.0112,0.0167
144.123,2023-04-23 18:13:01.890,0.0093,0.0142
145.123,2023-04-23 18:13:02.890,0.0084,0.0128
146.123,2023-04-23 18:13:03.890,0.0069,0.0094
147.123,2023-04-23 18:13:04.890,0.01,0.0147
148.123,2023-04-23 18:13:05.890,0.0097,0.0137
149.123,2023-04-23 18:13:06.890,0.0097,0.0143
150.123,2023-04-23 18:13:07.890,0.009,0.0126
151.123,2023-04-23 18:13:08.890,0.0091,0.0129
152.123,2023-04-23 18:13:09.890,0.0154,0.021
153.123,2023-04-23 18:13:10.890,0.013,0.017
154.123,2023-04-23 18:13:11.890,0.0161,0.0202
155.123,2023-04-23 18:13:12.890,0.0077,0.0091
156.123,2023-04-23 18:13:13.890,0.0087,0.01
157.123,2023-04-23 18:13:14.890,0.0193,0.0262
158.123,2023-04-23 18:13:15.890,0.0198,0.0325
159.123,2023-04-23 18:13:16.890,0.0154,0.0205
160.123,2023-04-23 18:13:17.890,0.0074,0.0085
161.123,2023-04-23 18:13:18.890,0.0078,0.009
162.123,2023-04-23 18:13:19.890,0.0063,0.0071
163.123,2023-04-23 18:13:20.890,0.006,0.0069
164.123,2023-04-23 18:13:21.890,0.0054,0.0063
165.123,2023-04-23 18:13:22.890,0.0079,0.0091
166.123,2023-04-23 18:13:23.890,0.0077,0.009
167.123,2023-04-23 18:13:24.890,0.0073,0.0094
168.123,2023-04-23 18:13:25.890,0.0063,0.0083
169.123,2023-04-23 18:13:26.890,0.0031,0.0036
170.123,2023-04-23 18:13:27.890,0.0028,0.0033
171.123,2023-04-23 18:13:28.890,0.0027,0.0034
172.123,2023-04-23 18:13:29.890,0.0039,0.0051
173.123,2023-04-23 18:13:30.890,0.0041,0.0051
174.123,2023-04-23 18:13:31.890,0.0069,0.0097
175.123,2023-04-23 18:13:32.890,0.0077,0.0098
176.123,2023-04-23 18:13:33.890,0.0179,0.0236
177.123,2023-04-23 18:13:34.890,0.0132,0.0161
178.123,2023-04-23 18:13:35.890,0.0132,0.0154
179.123,2023-04-23 18:13:36.890,0.014,0.0177
180.123,2023-04-23 18:13:37.890,0.0184,0.0243
181.123,2023-04-23 18:13:38.890,0.0169,0.0229
182.123,2023-04-23 18:13:39.890,0.0093,0.0123
183.123,2023-04-23 18:13:40.890,0.0098,0.0129
184.123,2023-04-23 18:13:41.890,0.0056,0.0076
185.284,2023-04-23 18:13:43.051,0.0086,0.0114
186.284,2023-04-23 18:13:44.051,0.0173,0.0228
187.284,2023-04-23 18:13:45.051,0.0164,0.0208
188.284,2023-04-23 18:13:46.051,0.0114,0.015
189.284,2023-04-23 18:13:47.051,0.009,0.0123
190.284,2023-04-23 18:13:48.051,0.0202,0.0268
191.284,2023-04-23 18:13:49.051,0.0276,0.0395
192.284,2023-04-23 18:13:50.051,0.0441,0.0663
193.284,2023-04-23 18:13:51.051,0.0108,0.0131
194.284,2023-04-23 18:13:52.051,0.0116,0.0149
195.284,2023-04-23 18:13:53.051,0.007,0.0083
196.284,2023-04-23 18:13:54.051,0.0067,0.009
197.284,2023-04-23 18:13:55.051,0.0099,0.0129
198.284,2023-04-23 18:13:56.051,0.0127,0.018
199.284,2023-04-23 18:13:57.051,0.0164,0.0216
200.284,2023-04-23 18:13:58.051,0.0147,0.0213
201.284,2023-04-23 18:13:59.051,0.0221,0.03
202.284,2023-04-23 18:14:00.051,0.0133,0.0205
203.284,2023-04-23 18:14:01.051,0.0153,0.0221
204.284,2023-04-23 18:14:02.051,0.0144,0.0225
205.284,2023-04-23 18:14:03.051,0.0103,0.0152
206.284,2023-04-23 18:14:04.051,0.0117,0.0183
207.284,2023-04-23 18:14:05.051,0.0159,0.0233
208.284,2023-04-23 18:14:06.051,0.0135,0.0209
209.284,2023-04-23 18:14:07.051,0.0111,0.0188
210.284,2023-04-23 18:14:08.051,0.0107,0.0174
211.284,2023-04-23 18:14:09.051,0.0096,0.0149
212.284,2023-04-23 18:14:10.051,0.0094,0.0158
213.284,2023-04-23 18:14:11.051,0.0182,0.0259
214.284,2023-04-23 18:14:12.051,0.0157,0.0226
215.284,2023-04-23 18:14:13.051,0.0162,0.0248
216.284,2023-04-23 18:14:14.051,0.0125,0.0179
217.284,2023-04-23 18:14:15.051,0.0124,0.019
218.284,2023-04-23 18:14:16.051,0.0125,0.0188
219.284,2023-04-23 18:14:17.051,0.0129,0.0189
220.284,2023-04-23 18:14:18.051,0.0128,0.0188
221.284,2023-04-23 18:14:19.051,0.015,0.0216
222.284,2023-04-23 18:14:20.051,0.0143,0.0204
223.284,2023-04-23 18:14:21.051,0.0149,0.0234
224.284,2023-04-23 18:14:22.051,0.013,0.0181
225.284,2023-04-23 18:14:23.051,0.0127,0.0189
226.284,2023-04-23 18:14:24.051,0.0189,0.0287
227.284,2023-04-23 18:14:25.051,0.0181,0.0251
228.284,2023-04-23 18:14:26.051,0.0149,0.0214
229.284,2023-04-23 18:14:27.051,0.0134,0.0194
230.284,2023-04-23 18:14:28.051,0.0129,0.0202
231.284,2023-04-23 18:14:29.051,0.0149,0.0223
232.284,2023-04-23 18:14:30.051,0.0147,0.0225
233.284,2023-04-23 18:14:31.051,0.0146,0.0212
234.284,2023-04-23 18:14:32.051,0.0131,0.0188
235.284,2023-04-23 18:14:33.051,0.0123,0.0183
236.284,2023-04-23 18:14:34.051,0.0112,0.0166
237.284,2023-04-23 18:14:35.051,0.013,0.0201
238.284,2023-04-23 18:14:36.051,0.0135,0.0207
239.284,2023-04-23 18:14:37.051,0.0142,0.0203
240.284,2023-04-23 18:14:38.051,0.0109,0.0164
241.284,2023-04-23 18:14:39.051,0.0103,0.0149
242.284,2023-04-23 18:14:40.051,0.0125,0.0177
