seconds,date,core_temperature
7188.185,2023-04-23 20:10:25.952,38.4
7249.978,2023-04-23 20:11:27.745,38.4
7311.147,2023-04-23 20:12:28.914,38.3
7372.563,2023-04-23 20:13:30.330,38.3
7434.133,2023-04-23 20:14:31.900,38.3
7495.55,2023-04-23 20:15:33.317,38.2
7556.943,2023-04-23 20:16:34.710,38.2
7618.535,2023-04-23 20:17:36.302,38.2
7679.929,2023-04-23 20:18:37.696,38.2
7741.52,2023-04-23 20:19:39.287,38.1
7802.936,2023-04-23 20:20:40.703,38.1
7864.083,2023-04-23 20:21:41.850,38.1
7925.502,2023-04-23 20:22:43.269,38.1
7987.069,2023-04-23 20:23:44.836,38.1
8048.487,2023-04-23 20:24:46.254,38.1
8109.9,2023-04-23 20:25:47.667,38.0
8171.469,2023-04-23 20:26:49.236,38.0
8232.863,2023-04-23 20:27:50.630,38.0
8294.456,2023-04-23 20:28:52.223,38.0
8355.851,2023-04-23 20:29:53.618,38.0
8417.02,2023-04-23 20:30:54.787,38.0
8478.818,2023-04-23 20:31:56.585,38.1
8540.005,2023-04-23 20:32:57.772,38.1
8601.42,2023-04-23 20:33:59.187,38.1
8662.793,2023-04-23 20:35:00.560,38.2
8724.389,2023-04-23 20:36:02.156,38.2
8785.8,2023-04-23 20:37:03.567,38.2
8847.394,2023-04-23 20:38:05.161,38.2
8908.811,2023-04-23 20:39:06.578,38.3
8969.955,2023-04-23 20:40:07.722,38.3
9031.394,2023-04-23 20:41:09.161,38.3
9092.94,2023-04-23 20:42:10.707,38.3
9154.357,2023-04-23 20:43:12.124,38.3
9215.75,2023-04-23 20:44:13.517,38.3
9277.343,2023-04-23 20:45:15.110,38.3
9338.736,2023-04-23 20:46:16.503,38.3
9400.329,2023-04-23 20:47:18.096,38.3
9461.724,2023-04-23 20:48:19.491,38.3
9522.914,2023-04-23 20:49:20.681,38.3
9584.73,2023-04-23 20:50:22.497,38.3
9645.876,2023-04-23 20:51:23.643,38.3
9707.293,2023-04-23 20:52:25.060,38.3
9768.708,2023-04-23 20:53:26.475,38.2
9830.279,2023-04-23 20:54:28.046,38.2
9891.67,2023-04-23 20:55:29.437,38.2
9953.263,2023-04-23 20:56:31.030,38.2
10014.68,2023-04-23 20:57:32.447,38.2
10076.249,2023-04-23 20:58:34.016,38.2
10137.643,2023-04-23 20:59:35.410,38.2
10198.812,2023-04-23 21:00:36.579,38.1
10260.21,2023-04-23 21:01:37.977,38.1
10321.798,2023-04-23 21:02:39.565,38.1
10383.213,2023-04-23 21:03:40.980,38.1
10444.606,2023-04-23 21:04:42.373,38.1
10506.18,2023-04-23 21:05:43.947,38.1
10567.592,2023-04-23 21:06:45.359,38.0
10629.207,2023-04-23 21:07:46.974,38.0
10690.601,2023-04-23 21:08:48.368,38.0
10751.748,2023-04-23 21:09:49.515,38.0
10813.186,2023-04-23 21:10:50.953,37.9
10874.733,2023-04-23 21:11:52.500,37.9
10936.149,2023-04-23 21:12:53.916,37.9
