,0,1,2,3,4
120,0.0125,0.0138,0.0072,0.0073,0.0123
121,0.0072,0.0073,0.0123,0.0151,0.0176
122,0.0123,0.0151,0.0176,0.0113,0.0202
123,0.0176,0.0113,0.0202,0.0183,0.012
124,0.0202,0.0183,0.012,0.0066,0.0082
125,0.012,0.0066,0.0082,0.0098,0.0109
126,0.0082,0.0098,0.0109,0.0089,0.0114
127,0.0109,0.0089,0.0114,0.0097,0.0114
128,0.0114,0.0097,0.0114,0.0111,0.0217
129,0.0114,0.0111,0.0217,0.0164,0.01
130,0.0217,0.0164,0.01,0.0094,0.008
131,0.01,0.0094,0.008,0.0085,0.0082
132,0.008,0.0085,0.0082,0.0096,0.0083
133,0.0082,0.0096,0.0083,0.0117,0.0126
134,0.0083,0.0117,0.0126,0.0082,0.0066
135,0.0126,0.0082,0.0066,0.0074,0.0067
136,0.0066,0.0074,0.0067,0.0076,0.006
137,0.0067,0.0076,0.006,0.0078,0.0079
138,0.006,0.0078,0.0079,0.0134,0.0097
139,0.0079,0.0134,0.0097,0.007,0.0055
140,0.0097,0.007,0.0055,0.0061,0.0075
141,0.0055,0.0061,0.0075,0.0053,0.0084
142,0.0075,0.0053,0.0084,0.0066,0.008
143,0.0084,0.0066,0.008,0.0065,0.0063
144,0.008,0.0065,0.0063,0.0065,0.0055
145,0.0063,0.0065,0.0055,0.0084,0.007
146,0.0055,0.0084,0.007,0.0076,0.0069
147,0.007,0.0076,0.0069,0.0069,0.0075
148,0.0069,0.0069,0.0075,0.019,0.0291
149,0.0075,0.019,0.0291,0.0103,0.0089
150,0.0291,0.0103,0.0089,0.0098,0.0108
151,0.0089,0.0098,0.0108,0.0102,0.0107
152,0.0108,0.0102,0.0107,0.0055,0.0042
153,0.0107,0.0055,0.0042,0.0049,0.0054
154,0.0042,0.0049,0.0054,0.0141,0.0123
155,0.0054,0.0141,0.0123,0.0101,0.0167
156,0.0123,0.0101,0.0167,0.0041,0.0048
157,0.0167,0.0041,0.0048,0.0072,0.0091
158,0.0048,0.0072,0.0091,0.0078,0.0058
159,0.0091,0.0078,0.0058,0.0085,0.0076
160,0.0058,0.0085,0.0076,0.0108,0.0144
