,seconds,date,hr
8681,"79,952",[2023-09-09 20:19:12 914],80.0
8736,"80,452",[2023-09-09 20:19:13 414],80.0
8791,"80,952",[2023-09-09 20:19:13 914],80.0
8845,"81,452",[2023-09-09 20:19:14 414],81.0
8902,"81,952",[2023-09-09 20:19:14 914],81.0
8959,"82,452",[2023-09-09 20:19:15 414],82.0
9016,"82,952",[2023-09-09 20:19:15 914],82.0
9072,"83,452",[2023-09-09 20:19:16 414],83.0
9129,"83,952",[2023-09-09 20:19:16 914],83.0
9186,"84,452",[2023-09-09 20:19:17 414],84.0
9239,"84,952",[2023-09-09 20:19:17 914],84.0
9294,"85,452",[2023-09-09 20:19:18 414],85.0
9352,"85,952",[2023-09-09 20:19:18 914],86.0
9408,"86,452",[2023-09-09 20:19:19 414],88.0
9466,"86,952",[2023-09-09 20:19:19 914],89.0
9523,"87,452",[2023-09-09 20:19:20 414],90.0
9581,"87,952",[2023-09-09 20:19:20 914],90.0
9632,"88,452",[2023-09-09 20:19:21 414],91.0
9688,"88,952",[2023-09-09 20:19:21 914],91.0
9745,"89,452",[2023-09-09 20:19:22 414],92.0
9803,"89,952",[2023-09-09 20:19:22 914],92.0
9859,"90,452",[2023-09-09 20:19:23 414],92.0
9916,"90,952",[2023-09-09 20:19:23 914],91.0
9973,"91,452",[2023-09-09 20:19:24 414],91.0
10029,"91,952",[2023-09-09 20:19:24 914],92.0
10083,"92,452",[2023-09-09 20:19:25 414],92.0
10139,"92,952",[2023-09-09 20:19:25 914],92.0
10196,"93,452",[2023-09-09 20:19:26 414],93.0
10254,"93,952",[2023-09-09 20:19:26 914],94.0
10312,"94,452",[2023-09-09 20:19:27 414],96.0
10369,"94,952",[2023-09-09 20:19:27 914],96.0
10425,"95,452",[2023-09-09 20:19:28 414],97.0
10481,"95,952",[2023-09-09 20:19:28 914],98.0
10537,"96,452",[2023-09-09 20:19:29 414],97.0
10594,"96,952",[2023-09-09 20:19:29 914],97.0
10651,"97,452",[2023-09-09 20:19:30 414],96.0
