,seconds,date,activity_load_2d,activity_load_3d
74,1.772,[2023-09-09 20:17:54 734],0.0053,0.0057
185,2.772,[2023-09-09 20:17:55 734],0.0029,0.0032
296,3.772,[2023-09-09 20:17:56 734],0.0061,0.0065
407,4.772,[2023-09-09 20:17:57 734],0.0043,0.0046
514,5.772,[2023-09-09 20:17:58 734],0.0022,0.0025
624,6.772,[2023-09-09 20:17:59 734],0.0036,0.0039
735,7.772,[2023-09-09 20:18:00 734],0.002,0.0024
844,8.772,[2023-09-09 20:18:01 734],0.0022,0.0025
952,9.772,[2023-09-09 20:18:02 734],0.0033,0.0037
1063,10.772,[2023-09-09 20:18:03 734],0.0039,0.0042
1174,11.772,[2023-09-09 20:18:04 734],0.0018,0.0021
1282,12.772,[2023-09-09 20:18:05 734],0.002,0.0024
1391,13.772,[2023-09-09 20:18:06 734],0.0022,0.0026
1502,14.772,[2023-09-09 20:18:07 734],0.0019,0.0023
1613,15.772,[2023-09-09 20:18:08 734],0.0018,0.0021
1719,16.772,[2023-09-09 20:18:09 734],0.0022,0.0026
1829,17.772,[2023-09-09 20:18:10 734],0.002,0.0023
1940,18.772,[2023-09-09 20:18:11 734],0.0021,0.0025
2050,19.772,[2023-09-09 20:18:12 734],0.0065,0.0069
2158,20.772,[2023-09-09 20:18:13 734],0.0023,0.0027
2269,21.772,[2023-09-09 20:18:14 734],0.002,0.0022
2380,22.772,[2023-09-09 20:18:15 734],0.0967,0.107
2488,23.772,[2023-09-09 20:18:16 734],0.0217,0.0251
2597,24.772,[2023-09-09 20:18:17 734],0.0234,0.0296
2708,25.772,[2023-09-09 20:18:18 734],0.0497,0.0778
2819,26.772,[2023-09-09 20:18:19 734],0.0658,0.0834
2924,27.772,[2023-09-09 20:18:20 734],0.0379,0.0427
3034,28.772,[2023-09-09 20:18:21 734],0.0455,0.0572
3145,29.772,[2023-09-09 20:18:22 734],0.0094,0.0127
3256,30.772,[2023-09-09 20:18:23 734],0.0647,0.0848
3362,31.772,[2023-09-09 20:18:24 734],0.0319,0.0379
3473,32.772,[2023-09-09 20:18:25 734],0.0868,0.1102
3584,33.772,[2023-09-09 20:18:26 734],0.0936,0.1108
3695,34.772,[2023-09-09 20:18:27 734],0.0395,0.0475
3801,35.772,[2023-09-09 20:18:28 734],0.0734,0.0918
3912,36.772,[2023-09-09 20:18:29 734],0.0804,0.1055
4023,37.772,[2023-09-09 20:18:30 734],0.062,0.0748
4133,38.772,[2023-09-09 20:18:31 734],0.0465,0.0596
4238,39.772,[2023-09-09 20:18:32 734],0.023,0.0315
4349,40.772,[2023-09-09 20:18:33 734],0.0261,0.0328
4460,41.772,[2023-09-09 20:18:34 734],0.0102,0.0128
4570,42.772,[2023-09-09 20:18:35 734],0.0357,0.0416
4677,43.772,[2023-09-09 20:18:36 734],0.0036,0.0043
4788,44.772,[2023-09-09 20:18:37 734],0.0051,0.006
4899,45.772,[2023-09-09 20:18:38 734],0.0171,0.0201
5008,46.772,[2023-09-09 20:18:39 734],0.0491,0.0603
5117,47.772,[2023-09-09 20:18:40 734],0.0098,0.0128
5228,48.772,[2023-09-09 20:18:41 734],0.0284,0.0352
5339,49.772,[2023-09-09 20:18:42 734],0.0224,0.0332
5447,50.772,[2023-09-09 20:18:43 734],0.003,0.004
5557,51.772,[2023-09-09 20:18:44 734],0.0096,0.0126
5668,52.772,[2023-09-09 20:18:45 734],0.0138,0.0184
5779,53.772,[2023-09-09 20:18:46 734],0.0096,0.0154
5885,54.772,[2023-09-09 20:18:47 734],0.0029,0.0035
5996,55.772,[2023-09-09 20:18:48 734],0.0191,0.0223
6107,56.772,[2023-09-09 20:18:49 734],0.0687,0.1007
6216,57.772,[2023-09-09 20:18:50 734],0.141,0.1675
6324,58.772,[2023-09-09 20:18:51 734],0.036,0.0491
6435,59.772,[2023-09-09 20:18:52 734],0.0097,0.0114
6546,60.772,[2023-09-09 20:18:53 734],0.0115,0.0131
6654,61.772,[2023-09-09 20:18:54 734],0.0574,0.069
6781,62.934,[2023-09-09 20:18:55 896],0.0759,0.1044
6892,63.934,[2023-09-09 20:18:56 896],0.1274,0.2015
7003,64.934,[2023-09-09 20:18:57 896],0.072,0.1199
7110,65.934,[2023-09-09 20:18:58 896],0.0469,0.0568
7220,66.934,[2023-09-09 20:18:59 896],0.0271,0.0349
7331,67.934,[2023-09-09 20:19:00 896],0.0133,0.0179
7440,68.934,[2023-09-09 20:19:01 896],0.0205,0.0285
7551,69.934,[2023-09-09 20:19:02 896],0.0109,0.014
7662,70.934,[2023-09-09 20:19:03 896],0.0044,0.0056
7775,71.934,[2023-09-09 20:19:04 896],0.0167,0.0233
7890,72.934,[2023-09-09 20:19:05 896],0.0311,0.0372
7999,73.934,[2023-09-09 20:19:06 896],0.0092,0.0118
8112,74.934,[2023-09-09 20:19:07 896],0.0129,0.0176
8225,75.934,[2023-09-09 20:19:08 896],0.0126,0.0169
8340,76.934,[2023-09-09 20:19:09 896],0.0087,0.0106
8449,77.934,[2023-09-09 20:19:10 896],0.011,0.0138
8563,78.934,[2023-09-09 20:19:11 896],0.0304,0.044
8678,79.934,[2023-09-09 20:19:12 896],0.0154,0.0213
8789,80.934,[2023-09-09 20:19:13 896],0.0057,0.0068
8899,81.934,[2023-09-09 20:19:14 896],0.0065,0.0096
