,0,1,2,3,4,cluster
0,0.0447,0.0353,0.0433,0.0393,0.0253,3
0,0.0433,0.0393,0.0253,0.0255,0.0272,3
0,0.0253,0.0255,0.0272,0.0537,0.0103,3
0,0.0272,0.0537,0.0103,0.0048,0.0042,3
0,0.0103,0.0048,0.0042,0.0068,0.0858,3
0,0.0042,0.0068,0.0858,0.0132,0.0107,4
0,0.0858,0.0132,0.0107,0.0151,0.0419,3
0,0.0107,0.0151,0.0419,0.0879,0.2002,4
0,0.0419,0.0879,0.2002,0.0266,0.0433,4
0,0.2002,0.0266,0.0433,0.1722,0.119,4
0,0.0433,0.1722,0.119,0.0941,0.0559,4
0,0.119,0.0941,0.0559,0.0466,0.0434,4
0,0.0559,0.0466,0.0434,0.0608,0.0958,3
0,0.0434,0.0608,0.0958,0.0327,0.0159,4
0,0.0958,0.0327,0.0159,0.0108,0.0067,3
0,0.0159,0.0108,0.0067,0.0079,0.0172,2
0,0.0067,0.0079,0.0172,0.0139,0.0165,2
0,0.0172,0.0139,0.0165,0.0117,0.0153,2
0,0.0165,0.0117,0.0153,0.0123,0.0121,2
0,0.0153,0.0123,0.0121,0.0067,0.0124,2
0,0.0121,0.0067,0.0124,0.0045,0.0046,2
0,0.0124,0.0045,0.0046,0.0083,0.0051,2
0,0.0046,0.0083,0.0051,0.0042,0.0033,1
0,0.0051,0.0042,0.0033,0.0036,0.0033,1
0,0.0033,0.0036,0.0033,0.0027,0.0053,1
0,0.0033,0.0027,0.0053,0.0064,0.0072,1
0,0.0053,0.0064,0.0072,0.0091,0.0085,2
0,0.0072,0.0091,0.0085,0.0053,0.0039,2
0,0.0085,0.0053,0.0039,0.0036,0.0064,1
0,0.0039,0.0036,0.0064,0.0085,0.0109,2
0,0.0064,0.0085,0.0109,0.0075,0.023,2
0,0.0109,0.0075,0.023,0.0082,0.0021,2
0,0.023,0.0082,0.0021,0.0019,0.0031,2
0,0.0021,0.0019,0.0031,0.007,0.0046,1
0,0.0031,0.007,0.0046,0.0064,0.01,2
0,0.0046,0.0064,0.01,0.0108,0.0076,2
0,0.01,0.0108,0.0076,0.0097,0.0051,2
0,0.0076,0.0097,0.0051,0.0032,0.0032,2
0,0.0051,0.0032,0.0032,0.0063,0.0107,2
0,0.0032,0.0063,0.0107,0.0062,0.007,2
0,0.0107,0.0062,0.007,0.0044,0.0064,2
0,0.007,0.0044,0.0064,0.0067,0.0065,1
0,0.0064,0.0067,0.0065,0.0062,0.0085,2
0,0.0065,0.0062,0.0085,0.0161,0.016,2
0,0.0085,0.0161,0.016,0.0061,0.0022,2
0,0.016,0.0061,0.0022,0.0021,0.0021,2
0,0.0022,0.0021,0.0021,0.0124,0.0098,2
0,0.0021,0.0124,0.0098,0.0157,0.0151,2
0,0.0098,0.0157,0.0151,0.014,0.0137,2
0,0.0151,0.014,0.0137,0.0093,0.0037,2
0,0.0137,0.0093,0.0037,0.0034,0.005,2
0,0.0037,0.0034,0.005,0.0051,0.008,1
0,0.005,0.0051,0.008,0.0054,0.0097,2
0,0.008,0.0054,0.0097,0.0071,0.0079,2
0,0.0097,0.0071,0.0079,0.0074,0.0078,2
0,0.0079,0.0074,0.0078,0.0095,0.006,2
0,0.0078,0.0095,0.006,0.0055,0.0073,2
0,0.006,0.0055,0.0073,0.0103,0.0072,2
0,0.0073,0.0103,0.0072,0.0136,0.0181,2
0,0.0072,0.0136,0.0181,0.0348,0.025,3
0,0.0181,0.0348,0.025,0.0471,0.0314,3
0,0.025,0.0471,0.0314,0.0148,0.0167,3
0,0.0314,0.0148,0.0167,0.0156,0.0128,2
0,0.0167,0.0156,0.0128,0.0179,0.0118,2
0,0.0128,0.0179,0.0118,0.0133,0.0129,2
0,0.0118,0.0133,0.0129,0.0156,0.017,2
0,0.0129,0.0156,0.017,0.0111,0.0128,2
0,0.017,0.0111,0.0128,0.0131,0.0131,2
0,0.0128,0.0131,0.0131,0.0142,0.01,2
0,0.0131,0.0142,0.01,0.0118,0.0158,2
0,0.01,0.0118,0.0158,0.0151,0.0147,2
0,0.0158,0.0151,0.0147,0.0142,0.0151,2
0,0.0147,0.0142,0.0151,0.0156,0.0124,2
0,0.0151,0.0156,0.0124,0.0124,0.0139,2
0,0.0124,0.0124,0.0139,0.0134,0.0145,2
0,0.0139,0.0134,0.0145,0.0127,0.0156,2
0,0.0145,0.0127,0.0156,0.0148,0.0143,2
0,0.0156,0.0148,0.0143,0.012,0.0111,2
0,0.0143,0.012,0.0111,0.0116,0.0127,2
0,0.0111,0.0116,0.0127,0.0149,0.015,2
0,0.0127,0.0149,0.015,0.0162,0.0141,2
0,0.015,0.0162,0.0141,0.0144,0.0141,2
0,0.0141,0.0144,0.0141,0.0142,0.0138,2
0,0.0141,0.0142,0.0138,0.0155,0.0111,2
0,0.0138,0.0155,0.0111,0.0118,0.0131,2
0,0.0111,0.0118,0.0131,0.0134,0.0142,2
0,0.0131,0.0134,0.0142,0.0125,0.0119,2
0,0.0142,0.0125,0.0119,0.0128,0.0121,2
0,0.0119,0.0128,0.0121,0.0138,0.0154,2
0,0.0121,0.0138,0.0154,0.0181,0.0146,2
0,0.0154,0.0181,0.0146,0.015,0.0131,2
0,0.0146,0.015,0.0131,0.0146,0.0124,2
0,0.0131,0.0146,0.0124,0.0158,0.0129,2
0,0.0124,0.0158,0.0129,0.0138,0.0127,2
0,0.0129,0.0138,0.0127,0.0174,0.0224,2
0,0.0127,0.0174,0.0224,0.0139,0.0133,2
0,0.0224,0.0139,0.0133,0.017,0.0129,2
0,0.0133,0.017,0.0129,0.0135,0.0156,2
0,0.0129,0.0135,0.0156,0.0148,0.0175,2
0,0.0156,0.0148,0.0175,0.0156,0.0156,2
0,0.0175,0.0156,0.0156,0.016,0.0137,2
0,0.0156,0.016,0.0137,0.0139,0.0119,2
0,0.0137,0.0139,0.0119,0.0128,0.0103,2
0,0.0119,0.0128,0.0103,0.011,0.0113,2
0,0.0103,0.011,0.0113,0.0083,0.0111,2
0,0.0113,0.0083,0.0111,0.0088,0.0128,2
0,0.0111,0.0088,0.0128,0.0087,0.0186,2
0,0.0128,0.0087,0.0186,0.0086,0.012,2
0,0.0186,0.0086,0.012,0.0069,0.0105,2
0,0.012,0.0069,0.0105,0.0062,0.0054,2
0,0.0105,0.0062,0.0054,0.0056,0.0021,2
0,0.0054,0.0056,0.0021,0.0019,0.0021,1
0,0.0021,0.0019,0.0021,0.0023,0.0021,1
0,0.0021,0.0023,0.0021,0.0018,0.0016,1
0,0.0021,0.0018,0.0016,0.0018,0.0023,1
0,0.0016,0.0018,0.0023,0.0022,0.0018,1
0,0.0023,0.0022,0.0018,0.0019,0.0019,1
0,0.0018,0.0019,0.0019,0.0018,0.0019,1
0,0.0019,0.0018,0.0019,0.0018,0.0017,1
0,0.0019,0.0018,0.0017,0.0018,0.0017,1
0,0.0017,0.0018,0.0017,0.0016,0.0033,1
0,0.0017,0.0016,0.0033,0.0043,0.0021,1
0,0.0033,0.0043,0.0021,0.0025,0.0018,1
0,0.0021,0.0025,0.0018,0.0016,0.002,1
0,0.0018,0.0016,0.002,0.002,0.0018,1
0,0.002,0.002,0.0018,0.002,0.0017,1
0,0.0018,0.002,0.0017,0.0018,0.0024,1
0,0.0017,0.0018,0.0024,0.002,0.0019,1
0,0.0024,0.002,0.0019,0.0019,0.0019,1
