,seconds,date,hr
17039,"154,802",[2023-09-08 19:21:27 939],75.0
17096,"155,302",[2023-09-08 19:21:28 439],75.0
17153,"155,802",[2023-09-08 19:21:28 939],76.0
17211,"156,302",[2023-09-08 19:21:29 439],76.0
17267,"156,802",[2023-09-08 19:21:29 939],76.0
17324,"157,302",[2023-09-08 19:21:30 439],76.0
17377,"157,802",[2023-09-08 19:21:30 939],76.0
17431,"158,302",[2023-09-08 19:21:31 439],76.0
17488,"158,802",[2023-09-08 19:21:31 939],77.0
17546,"159,302",[2023-09-08 19:21:32 439],77.0
17602,"159,802",[2023-09-08 19:21:32 939],78.0
17660,"160,302",[2023-09-08 19:21:33 439],78.0
17716,"160,802",[2023-09-08 19:21:33 939],78.0
17772,"161,302",[2023-09-08 19:21:34 439],78.0
17826,"161,802",[2023-09-08 19:21:34 939],77.0
17882,"162,302",[2023-09-08 19:21:35 439],77.0
17938,"162,802",[2023-09-08 19:21:35 939],77.0
17996,"163,302",[2023-09-08 19:21:36 439],77.0
18053,"163,802",[2023-09-08 19:21:36 939],78.0
18109,"164,302",[2023-09-08 19:21:37 439],78.0
18166,"164,802",[2023-09-08 19:21:37 939],78.0
18218,"165,302",[2023-09-08 19:21:38 439],78.0
18273,"165,802",[2023-09-08 19:21:38 939],79.0
18331,"166,302",[2023-09-08 19:21:39 439],79.0
18386,"166,802",[2023-09-08 19:21:39 939],80.0
18444,"167,302",[2023-09-08 19:21:40 439],81.0
18501,"167,802",[2023-09-08 19:21:40 939],81.0
18558,"168,302",[2023-09-08 19:21:41 439],82.0
18612,"168,802",[2023-09-08 19:21:41 939],83.0
18666,"169,302",[2023-09-08 19:21:42 439],84.0
18722,"169,802",[2023-09-08 19:21:42 939],84.0
18779,"170,302",[2023-09-08 19:21:43 439],85.0
18836,"170,802",[2023-09-08 19:21:43 939],86.0
18893,"171,302",[2023-09-08 19:21:44 439],86.0
18950,"171,802",[2023-09-08 19:21:44 939],86.0
19007,"172,302",[2023-09-08 19:21:45 439],86.0
19060,"172,802",[2023-09-08 19:21:45 939],86.0
19117,"173,302",[2023-09-08 19:21:46 439],86.0
19173,"173,802",[2023-09-08 19:21:46 939],85.0
19231,"174,302",[2023-09-08 19:21:47 439],84.0
19287,"174,802",[2023-09-08 19:21:47 939],84.0
19344,"175,302",[2023-09-08 19:21:48 439],83.0
19401,"175,802",[2023-09-08 19:21:48 939],83.0
19456,"176,302",[2023-09-08 19:21:49 439],82.0
19510,"176,802",[2023-09-08 19:21:49 939],82.0
19568,"177,302",[2023-09-08 19:21:50 439],81.0
19625,"177,802",[2023-09-08 19:21:50 939],81.0
19682,"178,302",[2023-09-08 19:21:51 439],81.0
19738,"178,802",[2023-09-08 19:21:51 939],81.0
19796,"179,302",[2023-09-08 19:21:52 439],81.0
19851,"179,802",[2023-09-08 19:21:52 939],82.0
19905,"180,302",[2023-09-08 19:21:53 439],83.0
19962,"180,802",[2023-09-08 19:21:53 939],83.0
20019,"181,302",[2023-09-08 19:21:54 439],84.0
20074,"181,802",[2023-09-08 19:21:54 939],85.0
20132,"182,302",[2023-09-08 19:21:55 439],85.0
20189,"182,802",[2023-09-08 19:21:55 939],85.0
20245,"183,302",[2023-09-08 19:21:56 439],85.0
20302,"183,802",[2023-09-08 19:21:56 939],85.0
20361,"184,302",[2023-09-08 19:21:57 439],85.0
20412,"184,802",[2023-09-08 19:21:57 939],84.0
20469,"185,302",[2023-09-08 19:21:58 439],84.0
20526,"185,802",[2023-09-08 19:21:58 939],84.0
20584,"186,302",[2023-09-08 19:21:59 439],84.0
20641,"186,802",[2023-09-08 19:21:59 939],85.0
20699,"187,302",[2023-09-08 19:22:00 439],85.0
20756,"187,802",[2023-09-08 19:22:00 939],85.0
